ID,PAAC2_A,PAAC2_C,PAAC2_D,PAAC2_E,PAAC2_F,PAAC2_G,PAAC2_H,PAAC2_I,PAAC2_K,PAAC2_L,PAAC2_M,PAAC2_N,PAAC2_P,PAAC2_Q,PAAC2_R,PAAC2_S,PAAC2_T,PAAC2_V,PAAC2_W,PAAC2_Y,PAAC2_lam1,PAAC2_lam2
seq18,2.3091,0.0,0.0,1.5394,0.7697,2.3091,0.0,0.7697,1.5394,1.5394,0.0,0.0,0.7697,0.0,0.7697,0.0,1.5394,0.0,1.5394,0.0,0.10300000000000001,0.1273
seq19,2.3729,0.0,0.0,1.5819,0.791,2.3729,0.0,0.791,1.5819,1.5819,0.0,0.791,0.791,0.0,0.0,0.0,1.5819,0.0,1.5819,0.0,0.0916,0.1174
seq20,2.2964,0.0,0.0,1.531,0.7655,2.2964,0.0,0.0,1.531,1.531,0.0,0.7655,0.7655,0.0,0.7655,0.0,1.531,0.0,1.531,0.0,0.1083,0.1262
seq21,2.2804,0.0,0.0,1.5203,0.7601,2.2804,0.0,0.7601,1.5203,1.5203,0.0,0.7601,0.7601,0.0,0.7601,0.0,0.7601,0.0,1.5203,0.0,0.0999,0.14
seq22,2.2996,0.0,0.0,1.5331,0.7665,2.2996,0.0,0.7665,1.5331,0.7665,0.0,0.7665,0.7665,0.0,0.7665,0.0,1.5331,0.0,1.5331,0.0,0.1066,0.1269
seq23,2.3171,0.0,0.0,1.5448,0.7724,2.3171,0.0,0.7724,0.7724,1.5448,0.0,0.7724,0.7724,0.0,0.7724,0.0,1.5448,0.0,1.5448,0.0,0.1009,0.1267
seq24,1.5387,0.0,0.0,1.5387,0.7693,2.308,0.0,0.7693,1.5387,1.5387,0.0,0.7693,0.7693,0.0,0.7693,0.0,1.5387,0.0,1.5387,0.0,0.1003,0.1303
seq25,2.3223,0.0,0.0,1.5482,0.0,2.3223,0.0,0.7741,1.5482,1.5482,0.0,0.7741,0.7741,0.0,0.7741,0.0,1.5482,0.0,1.5482,0.0,0.1,0.1258
seq26,1.5291,0.0,0.0,1.5291,0.7645,2.2936,0.0,0.7645,1.5291,1.5291,0.0,0.7645,0.7645,0.0,0.7645,0.0,1.5291,0.0,1.5291,0.0,0.1032,0.1322
seq27,2.298,0.0,0.0,0.766,0.766,2.298,0.0,0.766,1.532,1.532,0.0,0.766,0.766,0.0,0.766,0.0,1.532,0.0,1.532,0.0,0.10800000000000001,0.126
seq28,1.5318,0.0,0.0,1.5318,0.7659,2.2978,0.0,0.7659,1.5318,1.5318,0.0,0.7659,0.7659,0.0,0.7659,0.0,1.5318,0.0,1.5318,0.0,0.1035,0.1306
seq29,1.4798,0.7399,0.0,0.7399,0.7399,0.7399,0.0,1.4798,1.4798,0.7399,0.0,0.0,0.0,0.7399,2.9596,0.0,1.4798,0.0,1.4798,0.0,0.1209,0.1392
seq30,2.329,0.0,0.0,0.7763,0.7763,2.329,0.0,0.7763,1.5527,1.5527,0.0,0.7763,0.7763,0.0,0.7763,0.0,1.5527,0.0,1.5527,0.0,0.0942,0.1294
seq31,5.6801,0.0,0.0,0.0,0.0,2.84,0.9467,1.8934,0.0,2.84,0.9467,0.0,0.0,0.0,0.0,0.9467,2.84,1.8934,0.0,0.0,0.0307,0.0226
seq32,2.4987,0.0,0.0,2.4987,1.6658,0.8329,0.0,0.8329,1.6658,1.6658,1.6658,0.0,0.0,0.8329,0.0,0.0,0.8329,0.8329,0.0,0.8329,0.0893,0.0778
seq33,0.0,0.0,0.0,0.0,0.0,5.1575,0.0,3.4383,0.8596,4.2979,0.0,0.8596,0.8596,0.8596,0.0,0.0,0.0,0.0,0.0,0.8596,0.068,0.0724
seq34,0.0,0.9376,0.0,0.0,0.0,4.6878,0.0,2.8127,0.0,8.438,0.0,0.0,0.9376,0.0,0.0,0.0,0.0,0.9376,0.0,0.0,0.0346,0.0278
seq35,0.0,0.0,0.7714,0.7714,0.0,1.5429,0.0,0.7714,1.5429,0.7714,0.0,0.7714,0.0,3.0857,0.7714,0.0,0.7714,1.5429,2.3143,0.0,0.1218,0.1067
seq36,1.6677,0.0,0.8339,2.5016,0.0,0.0,0.0,0.8339,1.6677,1.6677,0.8339,0.0,2.5016,0.0,2.5016,0.0,0.0,1.6677,0.0,1.6677,0.0771,0.08900000000000001
seq37,0.7704,0.0,0.0,0.7704,0.7704,1.5408,0.0,0.7704,0.0,2.3113,0.0,1.5408,0.7704,1.5408,2.3113,0.7704,0.0,0.0,0.7704,0.7704,0.09699999999999999,0.1326
seq38,0.8037,0.8037,0.0,0.0,0.0,1.6075,0.0,0.8037,0.8037,0.8037,0.8037,2.4112,1.6075,0.0,1.6075,1.6075,0.8037,0.0,0.8037,0.8037,0.0799,0.1164
seq39,0.8483,0.0,0.0,0.8483,0.0,0.8483,0.8483,0.8483,0.8483,4.2415,0.0,1.6966,0.0,0.8483,0.8483,0.0,1.6966,2.5449,0.0,0.0,0.0852,0.0665
seq40,0.0,0.7405,0.0,0.7405,0.0,1.4809,0.0,1.4809,0.7405,0.0,0.0,0.7405,0.7405,0.7405,3.7023,0.0,2.2214,0.0,1.4809,0.0,0.125,0.1346
seq41,3.5064,0.0,0.0,0.0,0.0,0.0,0.8766,1.7532,1.7532,2.6298,0.8766,0.0,0.8766,0.0,2.6298,0.8766,0.8766,1.7532,0.0,0.8766,0.064,0.0594
seq42,0.8986,0.0,0.0,0.0,0.0,0.0,2.6959,0.0,0.8986,0.8986,0.8986,0.8986,1.7972,0.0,0.0,0.0,0.8986,0.0,0.8986,0.0,0.0435,0.0578
seq43,1.6444,1.6444,0.0,1.6444,0.8222,0.0,1.6444,0.0,0.8222,3.2888,0.0,0.0,2.4666,0.0,1.6444,0.8222,0.0,0.8222,0.0,0.8222,0.0857,0.0921
seq44,0.8613,0.0,0.0,0.8613,1.7227,0.0,0.0,0.8613,0.8613,4.3067,0.0,0.0,0.0,0.0,0.0,0.8613,0.0,0.8613,0.8613,0.8613,0.0943,0.0443
seq45,0.0,0.7494,2.2481,0.7494,0.7494,0.0,0.0,0.7494,0.7494,2.9975,0.0,0.0,0.0,0.0,0.7494,1.4987,0.0,0.0,2.2481,0.0,0.1257,0.1249
seq46,0.0,0.7505,2.2515,0.7505,0.7505,0.0,0.0,0.7505,0.7505,3.0021,0.0,0.0,0.0,0.0,0.7505,1.501,0.0,0.0,2.2515,0.0,0.1253,0.1242
seq47,0.0,0.7531,2.2593,0.7531,0.7531,0.0,0.0,0.0,0.7531,3.0124,0.0,0.0,0.0,0.0,0.7531,1.5062,0.0,0.7531,2.2593,0.0,0.1252,0.1216
seq48,0.0,0.7555,2.2666,0.7555,0.7555,0.7555,0.0,1.511,0.7555,1.511,0.0,0.0,0.0,0.0,0.7555,2.2666,0.0,0.7555,2.2666,0.0,0.1161,0.1284
seq49,0.0,0.746,2.238,0.746,0.746,0.0,0.0,1.492,0.746,1.492,0.0,0.0,0.0,0.0,0.746,1.492,0.746,0.746,2.984,0.0,0.1243,0.1297
seq50,0.0,0.7527,2.2582,0.7527,0.7527,0.0,0.0,1.5055,0.7527,1.5055,0.0,0.0,0.0,0.0,0.7527,1.5055,0.0,0.7527,2.2582,0.0,0.1465,0.1007
seq51,0.0,0.7477,2.2432,0.7477,0.7477,0.0,0.0,1.4955,0.7477,1.4955,0.0,0.0,0.0,0.0,0.7477,1.4955,0.0,0.7477,2.2432,0.0,0.1263,0.126
seq52,0.0,0.7514,2.2541,0.7514,0.7514,0.0,0.0,1.5027,0.7514,1.5027,0.0,0.0,0.0,0.0,0.7514,1.5027,0.0,0.7514,2.2541,0.0,0.1259,0.1228
seq53,0.0,0.7377,2.2132,0.7377,0.7377,0.0,0.0,1.4755,0.7377,1.4755,0.0,0.0,0.0,0.0,0.7377,1.4755,0.0,0.7377,2.2132,0.0,0.1169,0.1454
seq54,0.0,0.7708,2.3124,0.0,0.7708,0.0,0.0,0.7708,0.7708,1.5416,0.0,0.0,0.0,0.0,0.7708,0.7708,1.5416,1.5416,2.3124,0.0,0.1189,0.1103
seq55,0.0,0.7699,2.3096,0.0,0.7699,0.0,0.0,0.7699,0.7699,1.5397,0.0,0.0,0.0,0.0,0.7699,0.7699,1.5397,1.5397,2.3096,0.0,0.1208,0.1093
seq56,0.0,0.7688,2.3064,0.0,0.7688,0.0,0.0,1.5376,0.7688,0.7688,0.0,0.0,0.0,0.0,0.7688,1.5376,0.0,2.3064,2.3064,0.0,0.13,0.1012
seq57,0.0,0.0,1.5853,0.7927,0.7927,0.0,0.7927,0.0,0.7927,2.378,0.0,0.0,0.0,0.0,0.0,1.5853,0.0,2.378,3.1707,0.0,0.1264,0.081
seq58,0.0,0.7687,2.3062,0.0,0.7687,0.0,0.0,0.0,0.7687,1.5374,0.0,0.0,0.0,0.0,0.7687,1.5374,0.7687,2.3062,2.3062,0.0,0.1205,0.1108
seq59,0.0,0.7693,3.0774,1.5387,0.7693,0.0,0.0,1.5387,0.0,1.5387,0.0,0.0,0.0,0.0,0.0,1.5387,0.0,0.7693,2.308,0.0,0.1148,0.1159
seq60,0.0,0.7062,0.7062,0.7062,0.7062,0.0,0.0,1.4125,0.7062,1.4125,0.0,0.0,0.0,0.0,2.1187,1.4125,0.0,0.7062,2.1187,0.0,0.14,0.1537
seq61,0.0,0.7056,0.7056,0.0,0.7056,0.0,0.0,1.4111,1.4111,1.4111,0.0,0.0,0.0,0.0,2.1167,1.4111,0.0,0.7056,2.1167,0.0,0.1417,0.1527
seq62,1.6472,0.0,4.1181,3.2945,0.0,0.0,0.0,3.2945,3.2945,3.2945,0.0,1.6472,0.8236,0.8236,1.6472,4.1181,0.0,0.8236,0.8236,0.0,0.0969,0.0795
seq63,0.8334,0.0,0.0,0.0,0.8334,0.0,0.8334,1.6669,0.8334,0.0,0.0,1.6669,1.6669,0.0,0.8334,0.0,2.5003,0.0,0.8334,0.0,0.0931,0.0735
seq64,0.8865,5.3188,0.0,1.7729,1.7729,1.7729,0.0,2.6594,1.7729,0.8865,0.8865,1.7729,0.0,0.0,0.0,4.4323,0.8865,1.7729,0.0,0.8865,0.0624,0.0511
seq65,0.8781,5.2688,0.0,0.8781,0.8781,2.6344,0.0,2.6344,1.7563,0.0,0.0,0.8781,1.7563,0.0,0.8781,3.5125,0.8781,2.6344,0.0,0.8781,0.0587,0.0632
seq66,0.0,0.8768,0.0,0.0,2.6304,1.7536,1.7536,0.0,0.0,1.7536,0.0,0.0,0.8768,0.8768,0.8768,1.7536,0.8768,1.7536,0.0,0.0,0.0599,0.0633
seq67,1.7761,3.5521,0.888,0.0,1.7761,3.5521,0.0,0.888,0.0,0.888,0.0,0.888,0.0,0.0,0.0,0.888,0.0,1.7761,0.888,0.888,0.0592,0.0528
seq68,1.693,1.693,0.8465,0.0,0.8465,2.5394,0.0,0.0,0.0,0.0,0.0,0.8465,2.5394,0.8465,0.0,0.0,0.0,2.5394,2.5394,0.0,0.0936,0.0599
seq69,0.857,0.0,1.7141,5.9992,0.0,0.0,0.857,2.5711,1.7141,4.2851,0.0,3.4281,0.0,3.4281,0.857,2.5711,0.857,0.0,0.857,0.857,0.067,0.076
seq70,7.0541,0.0,0.0,6.2703,0.7838,0.0,0.0,0.0,6.2703,3.9189,0.0,0.7838,0.0,0.0,0.0,0.7838,0.0,0.0,2.3514,0.0,0.0917,0.1245
seq71,0.8743,0.8743,0.8743,1.7486,0.8743,1.7486,2.6229,0.0,1.7486,0.0,0.8743,0.0,0.0,4.3716,0.0,0.8743,0.0,0.0,0.0,0.0,0.0565,0.0692
seq72,1.7219,5.1657,3.4438,0.8609,0.8609,3.4438,0.0,0.8609,0.8609,1.7219,0.0,0.8609,1.7219,0.0,2.5828,1.7219,3.4438,1.7219,0.0,0.8609,0.0673,0.0718
seq73,0.0,4.5471,0.0,0.0,1.5157,1.5157,0.0,1.5157,0.0,0.0,0.0,0.0,0.0,0.0,3.0314,0.0,1.5157,0.0,0.0,0.0,0.1118,0.1304
seq74,0.0,4.4482,0.0,0.0,0.7414,1.4827,0.0,0.7414,0.0,0.7414,0.0,0.0,0.0,0.0,3.7068,0.0,0.7414,0.7414,0.0,0.0,0.1023,0.1564
seq75,3.3313,0.0,0.0,0.8328,0.0,4.1641,0.8328,1.6656,3.3313,4.1641,0.0,0.0,0.0,0.0,0.0,1.6656,1.6656,0.0,0.0,0.8328,0.0738,0.0934
seq76,3.3135,0.0,0.0,0.8284,0.0,4.1418,0.0,1.6567,3.3135,3.3135,0.0,0.8284,0.0,0.0,0.0,0.8284,2.4851,0.8284,0.0,0.8284,0.0768,0.0948
seq77,0.0,0.0,0.7389,1.4778,2.2167,0.7389,0.0,1.4778,2.2167,1.4778,0.0,0.7389,0.0,0.7389,2.2167,0.0,0.0,0.7389,0.0,0.0,0.113,0.1481
seq78,0.0,0.0,0.7262,0.7262,1.4524,0.7262,0.0,2.1785,2.1785,1.4524,0.0,0.7262,0.0,0.7262,2.1785,0.0,0.0,1.4524,0.0,0.0,0.1154,0.1585
seq79,0.811,0.0,0.0,0.0,0.811,1.622,0.0,0.811,1.622,1.622,0.811,0.811,0.0,0.0,0.0,0.811,0.0,3.2439,0.811,0.811,0.0885,0.1005
seq80,1.8043,5.4129,0.9022,0.9022,0.0,1.8043,0.0,1.8043,0.9022,0.9022,0.0,0.9022,1.8043,0.0,0.0,2.7065,1.8043,3.6086,0.9022,0.9022,0.0465,0.0514
seq81,0.8964,5.3782,0.0,0.8964,0.8964,2.6891,0.0,1.7927,1.7927,0.8964,0.0,1.7927,1.7927,0.0,0.8964,1.7927,1.7927,2.6891,0.0,0.8964,0.0529,0.0507
seq82,0.0,5.4201,0.0,0.9033,0.0,4.5167,0.0,0.9033,0.0,0.9033,0.0,1.8067,2.71,0.0,0.9033,1.8067,3.6134,1.8067,0.9033,0.0,0.052000000000000005,0.0447
seq83,1.6537,0.8269,0.8269,0.0,0.8269,2.4806,0.0,0.8269,0.0,0.0,0.0,0.0,2.4806,0.8269,0.0,0.0,0.8269,2.4806,2.4806,0.0,0.0951,0.078
seq84,0.0,0.0,0.0,0.0,2.8796,0.7199,0.0,0.7199,5.0393,0.7199,0.0,0.0,0.0,0.0,2.1597,0.7199,0.0,0.0,0.0,0.0,0.1401,0.14
seq85,0.9122,5.4731,0.0,0.9122,1.8244,2.7365,0.0,0.0,0.9122,0.9122,0.0,0.9122,0.9122,0.9122,0.0,2.7365,3.6487,1.8244,0.0,0.9122,0.0455,0.0423
seq86,1.7114,0.8557,0.0,3.4228,0.0,0.8557,0.0,0.8557,0.8557,1.7114,0.0,0.0,0.8557,0.0,0.0,0.0,2.5671,0.8557,0.0,0.0,0.0685,0.0758
seq87,1.6275,0.8138,0.0,2.4413,0.0,0.8138,0.0,0.8138,0.8138,1.6275,0.0,0.0,0.8138,0.0,0.0,0.0,2.4413,0.0,1.6275,0.0,0.0932,0.0931
seq88,0.0,4.5321,0.0,0.0,0.0,3.0214,0.0,1.5107,0.0,0.0,0.0,0.0,0.0,0.0,3.0214,0.0,0.0,1.5107,0.0,0.0,0.1131,0.1315
seq89,1.7871,5.3612,0.0,0.8935,0.8935,2.6806,0.0,3.5741,1.7871,0.0,0.0,1.7871,1.7871,0.0,0.8935,2.6806,0.0,2.6806,0.0,0.8935,0.0546,0.0519
seq90,0.0,5.5339,0.0,0.9223,0.9223,3.6892,0.0,2.7669,0.0,0.9223,0.0,1.8446,1.8446,0.0,0.0,3.6892,0.9223,3.6892,0.0,0.9223,0.0378,0.0399
seq91,0.0,0.0,0.8556,5.1336,0.0,0.0,0.8556,3.4224,0.8556,1.7112,1.7112,5.1336,0.0,2.5668,0.8556,2.5668,1.7112,0.0,2.5668,0.8556,0.0672,0.0772
seq92,0.7815,0.0,0.0,0.7815,0.7815,0.7815,0.0,0.7815,2.3446,0.7815,0.7815,0.0,0.7815,0.7815,1.563,0.7815,0.0,0.0,0.0,0.7815,0.1295,0.08900000000000001
seq93,0.0,5.2543,0.8757,1.7514,0.8757,0.8757,0.8757,1.7514,2.6272,0.8757,0.0,1.7514,1.7514,0.0,0.0,1.7514,0.8757,2.6272,0.8757,0.8757,0.0652,0.0591
seq94,0.0,1.5978,0.0,0.0,1.5978,0.0,0.0,0.0,0.7989,0.7989,0.0,0.0,1.5978,0.0,1.5978,1.5978,0.0,0.7989,0.0,0.7989,0.1013,0.0998
seq95,1.7383,2.6075,0.8692,0.0,0.8692,1.7383,0.0,0.0,0.0,0.8692,0.0,0.8692,2.6075,0.8692,0.0,0.0,0.0,2.6075,1.7383,0.0,0.0684,0.0624
seq96,1.7434,1.7434,0.8717,0.8717,3.4868,0.0,0.0,1.7434,0.8717,0.8717,0.0,0.8717,2.6151,0.0,0.0,0.8717,0.0,0.8717,0.0,0.0,0.0647,0.0636
seq97,2.6522,1.7682,0.0,0.8841,2.6522,0.0,0.0,1.7682,0.8841,1.7682,0.0,0.0,3.5363,0.0,0.0,0.8841,0.0,0.8841,0.0,0.0,0.0645,0.0514
seq98,0.8758,1.7516,0.0,0.8758,3.5031,0.8758,0.0,1.7516,0.8758,0.8758,0.0,0.0,3.5031,0.0,0.0,0.8758,0.0,1.7516,0.0,0.0,0.0609,0.0634
seq99,0.893,1.7859,0.0,0.893,2.6789,0.0,0.0,1.7859,0.893,1.7859,0.0,0.893,3.5719,0.0,0.0,0.893,0.0,1.7859,0.0,0.0,0.0508,0.0563
seq100,1.7224,1.7224,0.0,3.4449,6.8897,1.7224,0.0,3.4449,1.7224,3.4449,0.0,0.0,6.8897,0.0,0.0,1.7224,0.0,1.7224,0.0,0.0,0.0708,0.068
seq101,0.8558,0.0,0.0,1.7116,3.4232,0.8558,0.0,2.5674,0.8558,0.8558,0.0,0.0,3.4232,0.0,0.0,0.8558,0.0,1.7116,0.0,0.0,0.0742,0.07
seq102,0.8734,1.7469,0.0,1.7469,3.4938,0.0,0.0,1.7469,0.8734,0.8734,0.8734,0.8734,3.4938,0.0,0.0,0.0,0.0,0.8734,0.0,0.0,0.0575,0.069
seq103,0.8686,1.7372,0.0,1.7372,2.6057,0.8686,0.0,1.7372,0.8686,1.7372,0.8686,0.0,3.4743,0.0,0.0,0.0,0.0,0.8686,0.0,0.0,0.0663,0.0651
seq104,0.8401,0.0,0.0,1.6801,3.3602,0.8401,0.0,1.6801,1.6801,1.6801,0.8401,0.0,3.3602,0.0,0.0,0.0,0.0,0.8401,0.0,0.0,0.0863,0.0736
seq105,0.8662,1.7324,0.0,1.7324,3.4649,0.8662,0.0,0.8662,0.8662,0.8662,0.8662,0.0,3.4649,0.0,0.0,0.8662,0.0,0.8662,0.0,0.0,0.0744,0.0594
seq106,1.7057,0.0,0.8528,1.7057,3.4114,0.0,0.0,1.7057,0.8528,0.8528,0.8528,0.8528,2.5585,0.0,0.0,0.8528,0.0,0.8528,0.0,0.0,0.0764,0.0708
seq107,1.7324,0.0,0.0,1.7324,2.5986,0.0,0.0,2.5986,0.8662,0.8662,0.8662,0.8662,3.4649,0.0,0.0,0.8662,0.0,0.8662,0.0,0.0,0.0707,0.0631
seq108,2.594,0.0,0.0,1.7293,2.594,0.0,0.0,1.7293,0.8647,1.7293,0.8647,0.0,3.4586,0.0,0.0,0.8647,0.0,0.8647,0.0,0.0,0.0764,0.0589
seq109,0.861,0.0,0.0,1.722,2.583,0.0,0.0,1.722,1.722,0.861,0.861,0.861,3.4439,0.0,0.0,0.861,0.0,1.722,0.0,0.0,0.084,0.055
seq110,0.8508,0.0,0.8508,5.1047,0.8508,0.0,0.8508,2.5523,1.7016,5.1047,0.0,3.4031,0.0,3.4031,0.0,2.5523,0.8508,0.0,2.5523,0.0,0.0715,0.0777
seq111,0.0,0.0,1.5223,2.2834,1.5223,1.5223,0.0,2.2834,4.5668,4.5668,0.0,0.7611,0.7611,0.7611,3.8057,1.5223,0.7611,1.5223,0.0,0.0,0.1028,0.136
seq112,2.4175,0.0,0.8058,0.0,0.0,1.6116,0.8058,2.4175,0.0,1.6116,1.6116,0.0,0.8058,0.8058,0.8058,0.0,0.0,0.0,0.8058,0.0,0.0923,0.1019
seq113,0.8702,0.0,0.0,0.0,0.8702,0.0,0.8702,0.0,0.0,1.7404,0.0,0.0,2.6106,0.0,0.8702,0.8702,1.7404,0.0,0.0,0.0,0.0564,0.0734
seq114,3.3764,0.0,7.597,2.5323,2.5323,1.6882,0.8441,0.0,5.0646,0.0,0.0,7.597,0.8441,1.6882,4.2205,0.0,0.0,5.0646,0.0,3.3764,0.0699,0.086
seq115,0.0,4.4546,0.0,0.8909,0.8909,2.6728,0.0,2.6728,1.7818,1.7818,0.0,1.7818,1.7818,0.0,0.8909,2.6728,0.8909,2.6728,0.0,0.8909,0.0521,0.057
seq116,0.8562,0.0,0.8562,5.1374,0.0,0.0,0.8562,1.7125,1.7125,5.1374,0.0,4.2812,0.0,3.4249,0.0,3.4249,0.8562,0.0,1.7125,0.8562,0.0657,0.0781
seq117,1.6643,0.8322,0.8322,0.0,0.8322,2.4965,0.0,0.0,0.0,0.0,0.0,0.8322,3.3287,0.8322,0.0,0.0,0.0,2.4965,2.4965,0.0,0.0962,0.0716
seq118,0.8725,0.0,0.0,0.0,2.6174,0.0,0.0,0.8725,1.7449,1.7449,0.0,1.7449,2.6174,2.6174,5.2348,0.8725,1.7449,0.8725,0.0,0.0,0.0685,0.0591
seq119,0.0,1.6155,1.6155,0.8077,0.0,1.6155,0.0,0.0,0.0,1.6155,0.0,1.6155,1.6155,0.0,1.6155,0.0,1.6155,1.6155,0.8077,0.0,0.0892,0.1031
seq120,1.5991,0.0,1.5991,1.5991,0.0,0.7995,0.0,0.7995,3.1981,4.7972,0.7995,0.7995,0.0,3.9977,2.3986,0.0,2.3986,3.1981,0.7995,0.7995,0.0968,0.1037
seq121,0.8343,0.0,0.0,1.6686,0.8343,2.5029,0.8343,3.3372,1.6686,4.1714,0.8343,1.6686,2.5029,0.8343,2.5029,0.0,0.0,0.8343,0.0,2.5029,0.0744,0.0913
seq122,0.0,3.0191,0.0,0.0,0.7548,2.2644,0.0,0.0,0.0,0.7548,0.0,0.0,0.0,0.0,4.5287,0.0,0.0,1.5096,0.0,0.7548,0.1107,0.1345
seq123,0.8655,1.731,0.8655,0.0,0.0,1.731,0.0,0.0,0.0,1.731,0.0,1.731,2.5965,0.0,0.8655,0.0,0.8655,2.5965,1.731,0.0,0.0776,0.0569
seq124,0.0,1.5735,1.5735,0.7867,0.0,1.5735,0.0,0.7867,0.0,1.5735,0.0,0.7867,0.7867,0.0,2.3602,0.0,1.5735,1.5735,0.7867,0.0,0.1049,0.1084
seq125,2.5622,13.665,5.1244,1.7081,1.7081,7.6866,0.0,0.8541,12.811,4.2703,3.4163,2.5622,11.1028,4.2703,4.2703,5.1244,3.4163,4.2703,0.8541,1.7081,0.0745,0.0715
seq126,0.0,0.0,0.0,0.0,0.0,1.6941,0.0,0.0,0.0,0.8471,0.0,0.8471,1.6941,0.8471,0.8471,2.5412,0.0,0.8471,0.0,0.0,0.0572,0.0957
seq127,0.0,0.9087,0.9087,0.0,0.0,0.9087,0.9087,0.9087,0.0,0.9087,0.0,1.8174,0.9087,0.0,0.0,3.6347,0.9087,1.8174,0.0,1.8174,0.0356,0.0557
seq128,0.0,1.4967,0.0,0.7484,1.4967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7484,0.0,1.4967,1.4967,0.0,0.0,0.0,0.7484,0.1224,0.1292
seq129,0.0,0.0,0.0,0.7628,0.7628,0.7628,0.7628,0.0,0.7628,0.0,0.7628,0.0,0.7628,0.0,0.7628,1.5256,0.0,0.7628,0.7628,0.7628,0.1325,0.1047
