ID,PCP_SS_HE,PCP_SS_ST,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
seq55,0.478,0.261,0.609,0.13,0.174
seq56,0.486,0.27,0.541,0.216,0.243
seq57,0.36,0.44,0.36,0.2,0.24
seq58,0.6,0.3,0.75,0.2,0.1
seq59,0.243,0.324,0.486,0.324,0.189
seq60,0.435,0.435,0.478,0.261,0.13
seq61,0.541,0.162,0.432,0.297,0.108
seq62,0.308,0.179,0.231,0.487,0.513
seq63,0.281,0.281,0.312,0.438,0.406
seq64,0.348,0.478,0.609,0.087,0.261
seq65,0.667,0.1,0.567,0.367,0.1
seq66,0.6,0.2,0.567,0.4,0.067
seq67,0.586,0.207,0.517,0.345,0.172
seq68,0.421,0.211,0.737,0.263,0.053
seq69,0.667,0.167,0.625,0.292,0.083
seq70,0.56,0.2,0.6,0.32,0.12
seq71,0.5,0.308,0.538,0.308,0.154
seq72,0.538,0.269,0.577,0.308,0.154
seq73,0.5,0.292,0.667,0.292,0.083
seq74,0.4,0.4,0.75,0.15,0.15
seq75,0.385,0.462,0.692,0.154,0.077
seq76,0.312,0.375,0.75,0.188,0.062
seq77,0.294,0.412,0.647,0.176,0.176
seq78,0.522,0.304,0.696,0.174,0.174
seq79,0.348,0.413,0.435,0.283,0.261
seq80,0.319,0.319,0.404,0.34,0.191
seq81,0.6,0.067,0.4,0.467,0.067
seq82,0.542,0.25,0.5,0.375,0.125
seq83,0.688,0.125,0.521,0.354,0.083
seq84,0.432,0.297,0.486,0.351,0.108
seq85,0.458,0.25,0.625,0.25,0.125
seq86,0.576,0.212,0.303,0.303,0.424
seq87,0.394,0.303,0.576,0.242,0.182
seq88,0.459,0.27,0.568,0.27,0.162
seq89,0.406,0.312,0.719,0.219,0.125
seq90,0.269,0.231,0.231,0.462,0.462
seq91,0.529,0.353,0.5,0.206,0.176
seq92,0.35,0.35,0.375,0.25,0.325
seq93,0.143,0.714,0.714,0.214,0.143
seq94,0.571,0.238,0.619,0.238,0.19
seq95,0.295,0.318,0.568,0.205,0.205
seq96,0.158,0.368,0.526,0.368,0.158
seq97,0.644,0.111,0.467,0.4,0.133
seq98,0.4,0.367,0.433,0.3,0.267
seq99,0.346,0.308,0.423,0.385,0.154
seq100,0.202,0.071,0.655,0.095,0.286
seq101,0.544,0.256,0.389,0.356,0.233
seq102,0.346,0.231,0.692,0.115,0.192
seq103,0.569,0.194,0.389,0.361,0.181
seq104,0.289,0.395,0.526,0.211,0.237
seq105,0.4,0.325,0.525,0.175,0.175
seq106,0.588,0.206,0.441,0.265,0.029
seq107,0.304,0.478,0.652,0.13,0.217
seq108,0.268,0.366,0.561,0.171,0.22
seq109,0.462,0.269,0.577,0.231,0.154
seq110,0.385,0.308,0.615,0.231,0.154
seq111,0.619,0.143,0.667,0.143,0.19
seq112,0.556,0.278,0.444,0.278,0.167
seq113,0.5,0.292,0.667,0.042,0.292
seq114,0.577,0.154,0.462,0.192,0.231
seq115,0.5,0.263,0.474,0.237,0.132
seq116,0.4,0.333,0.667,0.2,0.067
seq117,0.205,0.231,0.308,0.513,0.487
seq118,0.394,0.455,0.485,0.061,0.182
seq119,0.303,0.485,0.485,0.212,0.212
seq120,0.404,0.319,0.489,0.17,0.234
seq121,0.25,0.25,0.188,0.5,0.5
seq122,0.762,0.095,0.333,0.333,0.095
seq123,0.452,0.323,0.516,0.161,0.29
seq124,0.325,0.375,0.625,0.125,0.175
seq125,0.412,0.529,0.588,0.176,0.176
seq126,0.414,0.345,0.586,0.31,0.103
seq127,0.541,0.243,0.622,0.216,0.162
seq128,0.6,0.167,0.667,0.233,0.1
seq129,0.455,0.212,0.545,0.273,0.182
seq130,0.516,0.226,0.613,0.323,0.097
seq131,0.312,0.344,0.5,0.312,0.281
seq132,0.5,0.286,0.571,0.286,0.143
seq133,0.5,0.286,0.714,0.214,0.143
seq134,0.538,0.231,0.769,0.154,0.154
seq135,0.304,0.348,0.174,0.435,0.609
seq136,0.391,0.304,0.565,0.304,0.087
seq137,0.333,0.368,0.649,0.14,0.211
seq138,0.579,0.132,0.158,0.263,0.447
seq139,0.27,0.324,0.568,0.189,0.216
seq140,0.618,0.147,0.559,0.353,0.059
seq141,0.34,0.32,0.72,0.14,0.12
seq142,0.403,0.351,0.558,0.299,0.143
seq143,0.56,0.28,0.64,0.08,0.16
seq144,0.405,0.286,0.429,0.381,0.214
seq145,0.76,0.16,0.56,0.28,0.16
seq146,0.63,0.259,0.407,0.407,0.185
seq147,0.415,0.341,0.463,0.268,0.22
seq148,0.562,0.312,0.5,0.25,0.219
seq149,0.2,0.5,0.55,0.25,0.2
seq150,0.852,0.074,0.185,0.481,0.0
seq151,0.375,0.458,0.625,0.25,0.125
seq152,0.5,0.333,0.417,0.417,0.167
seq153,0.632,0.053,0.421,0.421,0.053
seq154,0.259,0.519,0.444,0.222,0.296
seq155,0.316,0.211,0.158,0.368,0.579
seq156,0.25,0.389,0.639,0.167,0.222
seq157,0.222,0.444,0.481,0.185,0.333
seq158,0.295,0.364,0.5,0.227,0.273
seq159,0.271,0.354,0.583,0.312,0.125
seq160,0.231,0.385,0.692,0.231,0.077
seq161,0.536,0.286,0.571,0.286,0.107
seq162,0.63,0.222,0.556,0.259,0.148
seq163,0.444,0.222,0.389,0.333,0.222
seq164,0.516,0.194,0.452,0.323,0.194
seq165,0.372,0.419,0.535,0.209,0.233
seq166,0.421,0.248,0.414,0.323,0.203
seq167,0.25,0.25,0.2,0.45,0.45
seq168,0.324,0.239,0.338,0.408,0.268
seq169,0.647,0.196,0.353,0.51,0.157
seq170,0.324,0.412,0.5,0.118,0.176
seq171,0.4,0.28,0.64,0.28,0.12
seq172,0.52,0.16,0.64,0.24,0.16
seq173,0.5,0.182,0.591,0.364,0.091
seq174,0.591,0.227,0.727,0.136,0.136
seq175,0.556,0.185,0.593,0.296,0.185
seq176,0.5,0.286,0.714,0.286,0.0
seq177,0.212,0.515,0.424,0.212,0.333
seq178,0.441,0.353,0.588,0.118,0.118
seq179,0.263,0.342,0.526,0.237,0.237
seq180,0.48,0.24,0.64,0.28,0.08
seq181,0.636,0.227,0.591,0.364,0.045
seq182,0.4,0.2,0.25,0.55,0.45
seq183,0.2,0.44,0.44,0.16,0.28
seq184,0.391,0.391,0.739,0.0,0.217
seq185,0.381,0.333,0.571,0.238,0.286
seq186,0.515,0.182,0.576,0.273,0.152
seq187,0.381,0.286,0.762,0.143,0.095
seq188,0.35,0.25,0.25,0.35,0.4
seq189,0.261,0.239,0.283,0.457,0.435
seq190,0.357,0.429,0.405,0.333,0.262
seq191,0.524,0.262,0.452,0.286,0.119
seq192,0.562,0.281,0.312,0.438,0.188
seq193,0.515,0.182,0.606,0.273,0.121
seq194,0.5,0.206,0.559,0.294,0.147
seq195,0.4,0.308,0.477,0.246,0.185
seq196,0.367,0.267,0.467,0.217,0.3
seq197,0.434,0.303,0.434,0.368,0.211
seq198,0.765,0.147,0.059,0.618,0.176
seq199,0.348,0.261,0.435,0.326,0.304
seq200,0.353,0.471,0.647,0.235,0.059
seq201,0.294,0.412,0.647,0.176,0.176
seq202,0.421,0.316,0.684,0.211,0.053
seq203,0.294,0.412,0.647,0.235,0.059
seq204,0.412,0.294,0.588,0.412,0.059
seq205,0.462,0.423,0.5,0.231,0.154
seq206,0.381,0.238,0.762,0.143,0.143
seq207,0.514,0.324,0.568,0.27,0.162
seq208,0.394,0.273,0.545,0.364,0.091
seq209,0.45,0.4,0.45,0.2,0.2
seq210,0.288,0.365,0.365,0.269,0.308
seq211,0.333,0.238,0.476,0.238,0.238
seq212,0.652,0.261,0.522,0.261,0.174
seq213,0.42,0.38,0.46,0.28,0.2
seq214,0.41,0.231,0.462,0.308,0.179
seq215,0.255,0.4,0.436,0.2,0.327
seq216,0.485,0.182,0.667,0.242,0.091
seq217,0.412,0.471,0.647,0.118,0.176
seq218,0.513,0.282,0.538,0.308,0.179
seq219,0.4,0.45,0.65,0.2,0.2
seq220,0.424,0.273,0.576,0.242,0.182
seq221,0.406,0.281,0.5,0.344,0.188
seq222,0.393,0.25,0.5,0.286,0.25
seq223,0.421,0.211,0.553,0.211,0.237
seq224,0.25,0.438,0.625,0.125,0.125
seq225,0.577,0.192,0.538,0.308,0.154
seq226,0.44,0.16,0.64,0.2,0.16
seq227,0.278,0.5,0.667,0.222,0.111
seq228,0.417,0.333,0.333,0.333,0.417
seq229,0.579,0.105,0.368,0.316,0.158
seq230,0.553,0.237,0.368,0.421,0.105
seq231,0.708,0.125,0.625,0.208,0.0
seq232,0.381,0.571,0.571,0.0,0.143
seq233,0.278,0.306,0.472,0.333,0.194
seq234,0.49,0.275,0.412,0.255,0.196
seq235,0.538,0.269,0.462,0.308,0.231
seq236,0.469,0.194,0.378,0.367,0.214
seq237,0.4,0.467,0.8,0.2,0.067
seq238,0.5,0.154,0.692,0.231,0.115
seq239,0.25,0.531,0.5,0.219,0.312
seq240,0.479,0.053,0.191,0.489,0.468
seq241,0.089,0.228,0.329,0.595,0.532
seq242,0.348,0.391,0.478,0.174,0.304
seq243,0.435,0.377,0.652,0.116,0.217
seq244,0.488,0.28,0.659,0.232,0.122
seq245,0.385,0.346,0.654,0.154,0.231
seq246,0.355,0.258,0.629,0.194,0.161
seq247,0.286,0.429,0.571,0.143,0.357
seq248,0.279,0.302,0.535,0.279,0.186
seq249,0.216,0.351,0.568,0.189,0.243
seq250,0.381,0.381,0.667,0.286,0.048
seq251,0.357,0.386,0.643,0.157,0.186
seq252,0.508,0.271,0.729,0.102,0.169
seq253,0.457,0.257,0.571,0.429,0.029
seq254,0.4,0.367,0.683,0.167,0.15
seq255,0.302,0.419,0.488,0.256,0.186
seq256,0.318,0.364,0.5,0.341,0.159
seq257,0.415,0.151,0.528,0.34,0.17
seq258,0.414,0.345,0.483,0.276,0.241
seq259,0.5,0.294,0.471,0.353,0.206
seq260,0.5,0.341,0.364,0.364,0.318
seq261,0.432,0.364,0.523,0.273,0.205
seq262,0.488,0.372,0.512,0.326,0.163
seq263,0.194,0.361,0.556,0.278,0.25
seq264,0.31,0.405,0.5,0.238,0.262
seq265,0.366,0.237,0.409,0.344,0.215
seq266,0.458,0.333,0.667,0.208,0.083
seq267,0.458,0.292,0.542,0.375,0.083
seq268,0.333,0.256,0.6,0.267,0.178
seq269,0.471,0.235,0.706,0.176,0.118
seq270,0.538,0.308,0.692,0.154,0.231
seq271,0.385,0.385,0.769,0.077,0.154
seq272,0.641,0.256,0.256,0.487,0.231
seq273,0.395,0.326,0.628,0.186,0.14
seq274,0.533,0.167,0.533,0.3,0.2
seq275,0.496,0.268,0.374,0.301,0.244
seq276,0.375,0.425,0.5,0.075,0.4
seq277,0.35,0.425,0.475,0.1,0.35
seq278,0.458,0.208,0.708,0.167,0.042
seq279,0.577,0.192,0.577,0.192,0.038
seq280,0.5,0.25,0.625,0.125,0.208
seq281,0.52,0.24,0.56,0.12,0.28
seq282,0.474,0.263,0.684,0.053,0.211
seq283,0.281,0.406,0.438,0.344,0.25
seq284,0.538,0.231,0.385,0.308,0.154
seq285,0.517,0.276,0.552,0.138,0.138
seq286,0.291,0.354,0.468,0.241,0.278
seq287,0.376,0.216,0.451,0.302,0.239
seq288,0.273,0.432,0.432,0.159,0.341
seq289,0.343,0.313,0.507,0.239,0.224
seq290,0.431,0.324,0.441,0.265,0.265
seq291,0.435,0.275,0.424,0.31,0.235
seq292,0.349,0.372,0.628,0.14,0.186
seq293,0.35,0.375,0.575,0.25,0.15
seq294,0.268,0.22,0.415,0.341,0.329
seq295,0.338,0.231,0.492,0.323,0.162
seq296,0.306,0.278,0.361,0.319,0.333
seq297,0.462,0.333,0.436,0.359,0.167
seq298,0.436,0.077,0.513,0.231,0.282
seq299,0.463,0.104,0.388,0.299,0.299
seq300,0.329,0.434,0.513,0.237,0.237
seq301,0.4,0.32,0.4,0.36,0.22
seq302,0.333,0.333,0.444,0.278,0.278
seq303,0.388,0.408,0.49,0.347,0.204
seq304,0.333,0.25,0.417,0.417,0.222
seq305,0.341,0.318,0.591,0.182,0.25
seq306,0.5,0.3,0.567,0.233,0.2
seq307,0.238,0.452,0.5,0.071,0.262
seq308,0.341,0.341,0.39,0.317,0.268
seq309,0.333,0.354,0.562,0.229,0.146
seq310,0.341,0.293,0.463,0.195,0.268
seq311,0.342,0.38,0.532,0.139,0.266
seq312,0.391,0.413,0.457,0.196,0.261
seq313,0.304,0.348,0.457,0.283,0.261
seq314,0.367,0.289,0.544,0.156,0.289
seq315,0.363,0.286,0.538,0.231,0.286
seq316,0.323,0.312,0.495,0.28,0.29
seq317,0.28,0.28,0.43,0.194,0.366
seq318,0.316,0.342,0.5,0.197,0.276
seq319,0.64,0.2,0.44,0.36,0.12
seq320,0.326,0.349,0.512,0.279,0.186
seq321,0.448,0.379,0.552,0.241,0.138
seq322,0.182,0.455,0.5,0.136,0.364
seq323,0.275,0.425,0.475,0.225,0.225
seq324,0.333,0.381,0.548,0.214,0.19
seq325,0.243,0.27,0.324,0.405,0.405
seq326,0.579,0.184,0.474,0.447,0.079
seq327,0.25,0.318,0.568,0.273,0.159
seq328,0.24,0.56,0.56,0.16,0.28
seq329,0.364,0.394,0.576,0.273,0.152
seq330,0.321,0.357,0.464,0.25,0.286
seq331,0.324,0.471,0.471,0.294,0.235
seq332,0.409,0.227,0.636,0.136,0.227
seq333,0.296,0.296,0.528,0.194,0.324
seq334,0.143,0.405,0.643,0.143,0.238
seq335,0.452,0.31,0.5,0.333,0.167
seq336,0.356,0.274,0.467,0.281,0.207
seq337,0.469,0.344,0.5,0.156,0.125
seq338,0.341,0.341,0.488,0.195,0.268
seq339,0.435,0.348,0.522,0.261,0.261
seq340,0.298,0.383,0.468,0.298,0.234
seq341,0.455,0.045,0.227,0.545,0.364
seq342,0.143,0.429,0.619,0.143,0.333
seq343,0.5,0.286,0.643,0.286,0.071
seq344,0.394,0.303,0.545,0.242,0.212
seq345,0.485,0.212,0.515,0.273,0.212
seq346,0.429,0.238,0.81,0.095,0.095
seq347,0.368,0.368,0.447,0.184,0.342
seq348,0.375,0.35,0.4,0.275,0.25
seq349,0.455,0.242,0.606,0.273,0.121
seq350,0.7,0.033,0.5,0.467,0.233
seq351,0.476,0.286,0.5,0.357,0.143
seq352,0.238,0.524,0.619,0.048,0.286
seq353,0.231,0.538,0.769,0.154,0.077
seq354,0.375,0.375,0.75,0.167,0.167
seq355,0.4,0.24,0.6,0.24,0.12
seq356,0.461,0.289,0.487,0.368,0.145
seq357,0.326,0.442,0.698,0.163,0.186
seq358,0.379,0.397,0.397,0.431,0.207
seq359,0.538,0.231,0.654,0.192,0.115
seq360,0.607,0.214,0.643,0.179,0.143
seq361,0.282,0.41,0.615,0.231,0.154
seq362,0.362,0.315,0.415,0.362,0.231
seq363,0.288,0.345,0.456,0.31,0.279
seq364,0.409,0.227,0.364,0.258,0.348
seq365,0.446,0.357,0.339,0.384,0.259
seq366,0.269,0.37,0.462,0.218,0.361
seq367,0.307,0.32,0.4,0.333,0.227
seq368,0.367,0.367,0.4,0.417,0.233
seq369,0.312,0.344,0.406,0.469,0.156
seq370,0.356,0.271,0.412,0.26,0.322
seq371,0.27,0.189,0.378,0.486,0.27
seq372,0.43,0.225,0.465,0.331,0.218
seq373,0.55,0.15,0.45,0.35,0.2
seq374,0.616,0.163,0.337,0.372,0.267
seq375,0.337,0.31,0.38,0.329,0.275
seq376,0.388,0.31,0.412,0.325,0.251
seq377,0.438,0.219,0.312,0.281,0.281
seq378,0.52,0.267,0.4,0.373,0.2
seq379,0.638,0.217,0.435,0.449,0.116
seq380,0.381,0.381,0.714,0.19,0.143
seq381,0.5,0.3,0.75,0.15,0.15
seq382,0.409,0.409,0.682,0.091,0.182
seq383,0.364,0.164,0.327,0.291,0.291
seq384,0.38,0.32,0.48,0.28,0.22
seq385,0.435,0.261,0.565,0.261,0.174
seq386,0.277,0.241,0.398,0.337,0.337
seq387,0.378,0.333,0.4,0.289,0.267
seq388,0.312,0.188,0.125,0.562,0.438
seq389,0.455,0.273,0.227,0.364,0.455
seq390,0.308,0.385,0.385,0.231,0.385
seq391,0.489,0.244,0.444,0.422,0.178
seq392,0.4,0.333,0.467,0.422,0.111
seq393,0.301,0.26,0.685,0.041,0.205
seq394,0.047,0.163,0.767,0.07,0.163
seq395,0.356,0.24,0.481,0.25,0.26
seq396,0.341,0.341,0.488,0.317,0.122
seq397,0.388,0.347,0.327,0.347,0.245
seq398,0.364,0.242,0.576,0.182,0.303
seq399,0.61,0.244,0.171,0.585,0.146
seq400,0.684,0.105,0.368,0.105,0.211
seq401,0.37,0.37,0.556,0.185,0.185
seq402,0.306,0.327,0.408,0.265,0.245
seq403,0.0,0.571,0.429,0.143,0.5
seq404,0.267,0.533,0.5,0.2,0.3
seq405,0.385,0.308,0.346,0.308,0.385
seq406,0.352,0.393,0.434,0.262,0.27
seq407,0.326,0.442,0.419,0.302,0.163
seq408,0.413,0.317,0.508,0.286,0.175
seq409,0.306,0.339,0.565,0.177,0.194
seq410,0.424,0.302,0.431,0.333,0.231
seq411,0.402,0.32,0.393,0.385,0.221
seq412,0.352,0.312,0.484,0.336,0.188
seq413,0.408,0.32,0.427,0.277,0.248
seq414,0.465,0.326,0.326,0.395,0.186
seq415,0.384,0.341,0.369,0.286,0.329
seq416,0.294,0.317,0.434,0.303,0.253
seq417,0.305,0.311,0.445,0.201,0.268
seq418,0.308,0.333,0.41,0.239,0.325
seq419,0.579,0.211,0.316,0.474,0.263
seq420,0.409,0.295,0.591,0.295,0.114
seq421,0.386,0.318,0.5,0.318,0.182
seq422,0.409,0.318,0.614,0.25,0.136
seq423,0.365,0.318,0.451,0.282,0.278
seq424,0.439,0.282,0.443,0.251,0.278
seq425,0.439,0.282,0.408,0.267,0.286
seq426,0.535,0.211,0.333,0.412,0.263
seq427,0.325,0.229,0.454,0.345,0.309
seq428,0.387,0.419,0.484,0.194,0.29
seq429,0.302,0.419,0.442,0.256,0.233
seq430,0.433,0.25,0.4,0.283,0.417
seq431,0.338,0.354,0.508,0.2,0.308
seq432,0.405,0.311,0.5,0.284,0.162
seq433,0.365,0.397,0.508,0.254,0.175
seq434,0.29,0.26,0.527,0.229,0.267
seq435,0.4,0.333,0.6,0.2,0.133
seq436,0.304,0.261,0.217,0.478,0.435
seq437,0.416,0.243,0.573,0.267,0.212
seq438,0.41,0.308,0.462,0.205,0.179
seq439,0.286,0.571,0.571,0.19,0.381
seq440,0.524,0.238,0.333,0.333,0.286
seq441,0.262,0.405,0.476,0.262,0.238
seq442,0.467,0.356,0.511,0.311,0.089
seq443,0.583,0.167,0.611,0.333,0.056
seq444,0.373,0.392,0.392,0.392,0.216
seq445,0.477,0.341,0.477,0.386,0.091
seq446,0.359,0.359,0.578,0.141,0.25
seq447,0.571,0.286,0.571,0.286,0.143
seq448,0.459,0.297,0.514,0.27,0.135
seq449,0.378,0.333,0.467,0.244,0.178
seq450,0.638,0.058,0.42,0.449,0.159
seq451,0.5,0.286,0.643,0.357,0.071
seq452,0.4,0.2,0.7,0.1,0.2
seq453,0.351,0.405,0.324,0.27,0.324
seq454,0.143,0.429,0.619,0.143,0.333
seq455,0.571,0.179,0.411,0.429,0.196
seq456,0.565,0.087,0.652,0.261,0.087
seq457,0.35,0.45,0.75,0.2,0.1
seq458,0.65,0.25,0.35,0.3,0.25
seq459,0.276,0.483,0.552,0.207,0.345
seq460,0.571,0.143,0.429,0.321,0.25
seq461,0.52,0.2,0.6,0.28,0.12
seq462,0.589,0.196,0.482,0.375,0.179
seq463,0.375,0.318,0.375,0.33,0.239
seq464,0.56,0.16,0.56,0.28,0.16
seq465,0.171,0.457,0.514,0.286,0.343
seq466,0.615,0.077,0.769,0.154,0.077
seq467,0.348,0.333,0.379,0.242,0.333
seq468,0.683,0.117,0.3,0.533,0.15
seq469,0.385,0.231,0.615,0.231,0.231
seq470,0.455,0.182,0.364,0.455,0.364
seq471,0.364,0.182,0.364,0.545,0.273
seq472,0.391,0.348,0.565,0.304,0.13
seq473,0.429,0.19,0.667,0.286,0.095
seq474,0.524,0.143,0.619,0.286,0.143
seq475,0.421,0.105,0.105,0.526,0.474
seq476,0.404,0.277,0.489,0.255,0.128
seq477,0.391,0.217,0.652,0.174,0.174
seq478,0.457,0.266,0.468,0.298,0.223
seq479,0.48,0.32,0.6,0.2,0.28
seq480,0.476,0.238,0.667,0.095,0.286
seq481,0.652,0.13,0.609,0.261,0.087
seq482,0.387,0.258,0.645,0.29,0.065
seq483,0.355,0.29,0.613,0.29,0.097
seq484,0.455,0.242,0.636,0.242,0.121
seq485,0.442,0.186,0.349,0.256,0.326
seq486,0.255,0.426,0.532,0.191,0.298
seq487,0.324,0.351,0.514,0.216,0.243
seq488,0.476,0.143,0.429,0.19,0.333
seq489,0.462,0.308,0.692,0.231,0.154
seq490,0.538,0.231,0.769,0.154,0.154
seq491,0.571,0.19,0.714,0.238,0.095
seq492,0.526,0.184,0.447,0.395,0.053
seq493,0.143,0.0,0.286,0.667,0.667
seq494,0.481,0.37,0.481,0.407,0.111
seq495,0.568,0.27,0.514,0.432,0.054
seq496,0.545,0.182,0.455,0.364,0.182
seq497,0.533,0.133,0.467,0.4,0.267
seq498,0.455,0.212,0.636,0.242,0.121
seq499,0.378,0.333,0.422,0.267,0.178
seq500,0.311,0.378,0.489,0.244,0.156
seq501,0.345,0.431,0.69,0.155,0.19
seq502,0.457,0.329,0.629,0.2,0.157
seq503,0.256,0.372,0.488,0.116,0.419
seq504,0.531,0.156,0.562,0.344,0.125
seq505,0.556,0.167,0.667,0.111,0.278
seq506,0.44,0.34,0.4,0.4,0.16
seq507,0.409,0.273,0.5,0.364,0.182
seq508,0.647,0.176,0.382,0.5,0.118
seq509,0.167,0.5,0.467,0.267,0.367
seq510,0.529,0.118,0.765,0.118,0.059
seq511,0.636,0.136,0.682,0.182,0.136
seq512,0.426,0.333,0.333,0.463,0.185
seq513,0.333,0.345,0.414,0.31,0.253
seq514,0.429,0.357,0.429,0.25,0.321
seq515,0.271,0.333,0.646,0.125,0.229
seq516,0.339,0.237,0.78,0.119,0.119
seq517,0.371,0.21,0.726,0.145,0.161
seq518,0.356,0.222,0.778,0.156,0.111
seq519,0.364,0.364,0.705,0.068,0.227
seq520,0.424,0.212,0.485,0.242,0.273
seq521,0.286,0.476,0.714,0.095,0.238
seq522,0.386,0.371,0.371,0.257,0.357
seq523,0.303,0.408,0.697,0.158,0.145
seq524,0.298,0.179,0.571,0.226,0.262
seq525,0.371,0.286,0.829,0.086,0.114
seq526,0.15,0.55,0.65,0.1,0.3
seq527,0.283,0.217,0.717,0.067,0.267
seq528,0.227,0.364,0.477,0.318,0.341
seq529,0.3,0.356,0.478,0.222,0.322
seq530,0.385,0.231,0.538,0.077,0.385
seq531,0.609,0.217,0.609,0.217,0.13
seq532,0.37,0.37,0.522,0.326,0.13
seq533,0.333,0.4,0.5,0.2,0.2
seq534,0.267,0.533,0.4,0.067,0.333
seq535,0.571,0.2,0.6,0.257,0.229
seq536,0.213,0.426,0.511,0.213,0.234
seq537,0.657,0.114,0.229,0.457,0.171
seq538,0.667,0.133,0.467,0.4,0.2
seq539,0.379,0.31,0.414,0.241,0.414
seq540,0.456,0.316,0.43,0.354,0.241
seq541,0.452,0.345,0.548,0.357,0.155
seq542,0.182,0.545,0.455,0.091,0.455
seq543,0.5,0.214,0.643,0.25,0.107
seq544,0.506,0.299,0.273,0.39,0.299
seq545,0.457,0.326,0.457,0.152,0.217
seq546,0.432,0.162,0.297,0.405,0.27
seq547,0.235,0.412,0.529,0.353,0.294
seq548,0.609,0.13,0.348,0.478,0.217
seq549,0.586,0.138,0.31,0.345,0.276
seq550,0.35,0.45,0.55,0.3,0.1
seq551,0.478,0.217,0.696,0.217,0.087
seq552,0.451,0.255,0.431,0.294,0.294
seq553,0.356,0.289,0.578,0.222,0.133
seq554,0.545,0.182,0.364,0.455,0.273
seq555,0.444,0.222,0.25,0.361,0.389
seq556,0.324,0.351,0.541,0.189,0.243
seq557,0.464,0.286,0.321,0.321,0.286
seq558,0.619,0.0,0.19,0.19,0.81
seq559,0.476,0.286,0.238,0.286,0.429
seq560,0.6,0.24,0.32,0.2,0.36
seq561,0.256,0.341,0.402,0.439,0.341
seq562,0.34,0.277,0.34,0.447,0.34
seq563,0.347,0.253,0.453,0.227,0.267
seq564,0.426,0.34,0.447,0.234,0.255
seq565,0.545,0.364,0.409,0.091,0.318
seq566,0.308,0.359,0.256,0.256,0.564
seq567,0.405,0.333,0.429,0.262,0.19
seq568,0.6,0.28,0.4,0.2,0.28
seq569,0.238,0.333,0.714,0.143,0.143
seq570,0.481,0.321,0.494,0.358,0.16
seq571,0.524,0.238,0.571,0.286,0.143
seq572,0.455,0.318,0.636,0.273,0.091
seq573,0.452,0.419,0.452,0.258,0.161
seq574,0.474,0.316,0.684,0.158,0.158
seq575,0.381,0.31,0.5,0.214,0.262
seq576,0.418,0.255,0.636,0.2,0.2
seq577,0.383,0.367,0.417,0.317,0.217
