ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
seq47,4.35,0.00,0.00,0.00,15.26,18.05,7.37,4.17,13.25,13.58,0.00,9.05,11.05,0.00,0.00,7.05,0.00,9.25,0.00,0.00
seq48,7.76,15.44,0.00,14.35,0.00,0.00,0.00,10.88,6.88,7.04,17.58,20.50,12.19,9.36,16.35,24.04,13.96,0.00,12.19,18.96
seq49,26.68,0.00,22.22,12.68,16.26,39.22,0.00,14.46,9.55,19.12,0.00,8.94,46.27,22.66,0.00,18.49,17.77,20.68,0.00,31.02
seq50,6.30,0.00,18.66,13.19,32.34,19.62,0.00,8.62,20.49,21.79,0.00,35.13,18.97,12.43,17.57,18.51,21.03,19.79,0.00,0.00
seq51,17.21,7.18,22.19,20.02,28.11,9.90,24.30,36.57,17.58,25.40,0.00,11.80,0.00,0.00,20.70,11.79,22.07,21.53,24.05,14.00
seq52,15.54,0.00,6.97,20.82,0.00,25.26,20.12,10.82,16.44,10.97,0.00,17.95,7.76,0.00,17.82,22.02,19.71,26.31,30.02,25.02
seq53,0.00,0.00,18.69,0.00,26.65,20.29,20.16,14.22,20.74,0.00,0.00,13.26,5.94,16.74,9.31,35.03,11.58,18.86,13.58,0.00
seq54,34.60,0.00,18.59,32.00,26.20,0.00,21.45,11.41,20.98,17.02,0.00,0.00,3.41,26.31,14.82,13.28,14.49,22.02,22.69,28.69
seq55,8.25,16.09,11.91,0.00,0.00,6.86,0.00,0.00,9.23,9.81,0.00,0.00,0.00,0.00,8.59,12.77,0.00,6.77,11.30,10.23
seq56,7.50,0.00,0.00,0.00,0.00,16.92,14.97,13.25,18.38,13.54,0.00,18.80,11.79,0.00,10.21,0.00,24.05,6.12,0.00,19.92
seq57,0.00,4.23,0.00,0.00,0.00,11.21,0.00,12.21,7.71,0.00,0.00,18.00,21.20,15.44,5.95,21.20,16.64,19.52,0.00,12.70
seq58,8.94,10.21,0.00,0.00,6.94,0.00,0.00,0.00,7.61,2.80,0.00,0.00,9.05,0.00,0.00,14.65,0.00,12.05,0.00,0.00
seq59,0.00,6.84,0.00,20.97,18.00,4.83,0.00,31.35,31.35,18.86,0.00,16.56,11.31,18.40,12.17,17.57,0.00,19.46,0.00,12.63
seq60,0.00,0.00,16.09,0.00,12.70,0.00,0.00,18.23,9.95,13.86,0.00,0.00,8.59,10.61,8.32,0.00,14.78,6.55,9.50,0.00
seq61,0.00,0.00,11.31,12.69,18.40,9.79,0.00,14.11,13.20,7.97,0.00,0.00,0.00,19.64,8.59,13.56,0.00,0.00,0.00,0.00
seq62,0.00,0.00,0.00,0.00,11.31,22.67,0.00,20.36,0.00,13.08,0.00,0.00,1.90,0.00,4.90,0.00,0.00,0.00,0.00,25.90
seq63,0.00,0.00,20.97,0.00,12.06,14.00,0.00,18.26,9.74,15.70,23.28,14.39,5.60,0.00,16.83,0.00,15.16,15.78,0.00,12.83
seq64,0.00,0.00,0.00,0.00,14.19,6.45,5.05,5.24,9.23,14.78,0.00,0.00,0.00,0.00,12.70,0.00,10.23,6.67,0.00,0.00
seq65,6.62,0.00,22.83,0.00,0.00,8.12,0.00,0.00,3.83,10.00,14.69,0.00,14.43,28.03,0.00,0.00,0.00,0.00,13.04,0.00
seq66,9.73,0.00,22.83,15.37,0.00,8.15,0.00,15.37,4.71,7.39,0.00,0.00,14.43,21.86,0.00,0.00,26.17,16.03,13.04,0.00
seq67,9.79,0.00,22.46,14.62,25.17,8.07,0.00,15.24,5.12,9.18,13.04,0.00,14.14,0.00,0.00,0.00,16.04,0.00,12.18,0.00
seq68,0.00,0.00,12.32,0.00,0.00,5.20,0.00,9.47,5.29,3.20,0.00,0.00,15.26,0.00,0.00,0.00,0.00,6.71,0.00,0.00
seq69,8.96,0.00,0.00,17.04,0.00,6.19,0.00,15.71,2.95,7.89,12.04,0.00,0.00,0.00,0.00,0.00,13.54,12.04,14.54,0.00
seq70,10.71,0.00,0.00,0.00,15.44,6.17,0.00,13.52,6.35,4.57,0.00,0.00,11.60,23.04,0.00,8.71,0.00,12.04,23.04,0.00
seq71,9.20,0.00,0.00,0.00,0.00,11.88,0.00,6.00,6.67,9.84,15.27,0.00,12.19,24.04,12.50,14.35,17.58,10.16,20.50,0.00
seq72,9.84,0.00,0.00,0.00,0.00,6.17,0.00,22.19,5.32,6.35,15.27,0.00,12.19,18.00,0.00,0.00,12.56,8.00,12.72,0.00
seq73,10.05,0.00,0.00,0.00,14.78,6.23,0.00,7.91,6.35,5.14,0.00,0.00,11.21,22.04,0.00,11.54,0.00,11.91,20.21,0.00
seq74,3.88,0.00,0.00,0.00,15.26,9.58,0.00,3.76,13.68,7.89,0.00,0.00,9.65,0.00,0.00,9.05,13.25,12.05,0.00,0.00
seq75,0.00,0.00,0.00,0.00,3.45,6.92,0.00,9.38,5.54,6.08,0.00,0.00,0.00,8.00,8.00,5.69,0.00,9.38,6.92,0.00
seq76,8.56,0.00,9.56,0.00,10.81,6.36,0.00,4.93,6.67,11.33,0.00,0.00,0.00,0.00,0.00,12.31,0.00,4.64,0.00,0.00
seq77,7.65,0.00,10.47,0.00,11.76,7.31,8.59,3.07,7.31,13.29,0.00,0.00,0.00,0.00,0.00,12.31,0.00,5.19,0.00,0.00
seq78,4.32,0.00,0.00,14.78,13.50,16.59,8.14,12.70,11.91,13.59,0.00,0.00,11.30,19.22,0.00,10.61,0.00,5.75,0.00,0.00
seq79,12.30,6.77,17.48,38.54,18.80,15.33,10.84,24.46,16.28,18.00,0.00,10.93,0.00,40.28,28.80,14.76,10.36,26.80,31.15,29.93
seq80,0.00,6.83,15.51,19.54,20.20,10.80,18.11,25.96,17.91,18.00,0.00,11.79,24.11,0.00,15.72,18.20,26.71,0.00,36.30,0.00
seq81,4.64,0.00,6.67,7.73,0.00,8.93,0.00,0.00,4.58,8.67,0.00,6.67,0.00,0.00,11.33,13.07,0.00,7.07,0.00,0.00
seq82,11.54,0.00,0.00,11.21,12.04,10.87,9.22,11.04,7.05,4.86,0.00,12.23,0.00,10.87,0.00,0.00,17.04,10.70,0.00,0.00
seq83,6.42,0.00,31.77,33.02,26.77,15.24,0.00,24.04,6.72,8.88,29.52,34.60,23.02,42.11,19.33,16.04,0.00,20.72,0.00,0.00
seq84,12.31,0.00,26.97,0.00,8.50,11.85,0.00,18.03,4.10,16.14,0.00,33.14,0.00,20.14,11.47,11.94,22.92,9.56,0.00,0.00
seq85,12.00,0.00,0.00,0.00,0.00,6.00,0.00,13.54,9.14,3.65,0.00,9.13,0.00,22.04,0.00,17.04,11.54,9.77,0.00,12.04
seq86,13.59,6.17,25.76,21.58,13.59,0.00,7.03,0.00,7.61,14.78,8.97,0.00,15.76,24.43,0.00,9.66,0.00,0.00,0.00,22.85
seq87,11.29,21.91,15.59,0.00,22.85,12.23,0.00,15.66,5.72,12.21,0.00,25.76,0.00,0.00,0.00,10.19,12.45,16.48,19.39,0.00
seq88,9.15,25.69,15.86,0.00,22.58,9.21,0.00,16.31,6.72,8.50,22.92,0.00,0.00,12.25,0.00,14.57,21.64,11.36,0.00,0.00
seq89,5.11,0.00,0.00,0.00,0.00,9.11,0.00,9.83,6.39,15.70,0.00,0.00,12.06,0.00,0.00,20.97,0.00,4.58,0.00,0.00
seq90,0.00,0.00,13.58,0.00,8.24,12.56,21.20,13.04,0.00,0.00,0.00,11.60,3.25,10.16,7.12,12.04,12.96,0.00,0.00,24.04
seq91,17.21,5.52,23.79,26.74,0.00,16.03,17.21,25.21,11.88,9.10,0.00,0.00,0.00,20.66,6.45,11.70,30.15,24.06,0.00,13.76
seq92,19.32,7.20,14.87,14.66,0.00,12.81,15.24,21.82,19.62,0.00,32.62,0.00,18.51,26.82,8.05,13.29,0.00,25.97,0.00,18.54
seq93,0.00,5.69,0.00,0.00,3.09,6.93,0.00,3.85,5.54,0.00,0.00,0.00,8.93,0.00,0.00,0.00,10.36,6.36,0.00,0.00
seq94,9.62,10.25,0.00,0.00,19.05,17.24,0.00,6.05,7.26,2.56,12.95,0.00,7.75,0.00,15.62,11.05,0.00,0.00,0.00,0.00
seq95,13.28,20.93,0.00,18.74,0.00,6.76,42.02,19.64,15.35,33.39,38.30,10.93,0.00,0.00,38.30,11.51,40.11,10.50,12.79,27.63
seq96,8.53,0.00,9.06,0.00,8.63,8.19,0.00,11.17,11.16,0.00,0.00,10.21,10.21,8.95,0.00,0.00,8.63,5.61,0.00,15.26
seq97,9.50,0.00,23.11,16.69,34.93,11.22,0.00,0.00,6.63,6.56,21.91,0.00,39.29,43.02,21.91,16.88,0.00,37.56,27.91,23.69
seq98,9.46,9.32,24.43,0.00,14.83,24.43,0.00,20.03,6.74,26.17,0.00,0.00,11.93,14.62,9.45,16.39,7.25,8.39,0.00,0.00
seq99,0.00,12.24,7.48,16.35,12.19,18.96,0.00,16.35,0.00,4.78,0.00,13.04,0.00,9.04,24.04,9.92,15.12,17.84,0.00,0.00
seq100,51.01,0.00,74.49,0.00,42.35,1.53,8.49,0.00,0.00,0.00,0.00,52.01,22.00,43.81,41.73,40.92,76.30,0.00,0.00,53.85
seq101,10.63,17.41,26.80,15.89,29.33,73.61,61.23,30.90,28.31,19.46,38.45,18.80,41.73,23.43,28.71,29.84,14.59,22.90,0.00,34.94
seq102,12.96,0.00,0.00,0.00,13.58,4.00,0.00,15.27,10.16,5.95,0.00,0.00,0.00,22.19,0.00,9.88,12.56,12.72,0.00,0.00
seq103,15.58,39.35,27.51,16.29,31.51,17.54,0.00,53.07,10.80,40.62,58.20,31.75,45.57,49.07,15.22,19.43,66.18,23.01,0.00,36.47
seq104,32.34,5.88,36.03,0.00,19.62,9.20,14.00,9.89,27.61,20.24,18.13,16.59,10.08,18.66,11.14,27.95,26.24,26.24,36.03,0.00
seq105,26.82,6.69,0.00,38.02,0.00,7.75,0.00,12.41,32.62,9.46,20.02,15.33,15.33,21.12,5.85,26.77,23.52,26.77,24.52,29.52
seq106,16.74,0.00,15.33,12.85,24.00,9.87,0.00,5.83,10.09,12.09,0.00,0.00,0.00,16.06,5.19,20.26,0.00,0.00,0.00,0.00
seq107,0.00,0.00,0.00,0.00,6.32,4.86,5.95,11.14,12.70,14.78,0.00,10.87,0.00,17.57,0.00,16.09,0.00,6.75,0.00,0.00
seq108,9.45,3.78,0.00,0.00,0.00,7.89,0.00,19.71,0.00,21.27,0.00,10.31,25.27,32.62,18.82,11.59,37.12,0.00,0.00,13.90
seq109,8.00,0.00,17.58,0.00,16.35,8.14,18.96,0.00,7.68,13.96,0.00,0.00,0.00,0.00,15.27,18.96,12.19,6.71,22.19,20.50
seq110,7.38,0.00,22.19,0.00,7.12,6.68,6.12,4.61,8.04,0.00,0.00,20.50,0.00,16.35,0.00,18.96,0.00,0.00,22.19,0.00
seq111,0.00,0.00,0.00,0.00,19.05,4.12,6.84,9.90,10.45,3.94,9.62,0.00,0.00,14.19,0.00,0.00,0.00,0.00,17.24,0.00
seq112,16.06,0.00,0.00,8.06,7.41,7.65,12.72,0.00,7.06,8.72,0.00,0.00,0.00,10.28,6.94,9.39,8.72,0.00,10.24,0.00
seq113,0.00,0.00,0.00,0.00,14.78,3.25,4.17,10.87,11.21,9.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.22,11.54,0.00
seq114,12.96,0.00,0.00,18.96,15.12,8.61,10.38,17.58,11.84,8.04,15.27,16.35,0.00,14.35,10.46,18.00,0.00,12.96,0.00,0.00
seq115,11.08,0.00,18.03,0.00,32.34,10.38,11.84,0.00,11.03,11.75,0.00,23.92,0.00,0.00,7.03,0.00,18.03,9.69,17.47,21.14
seq116,12.07,0.00,0.00,0.00,24.43,7.29,17.77,16.48,7.65,12.41,0.00,14.83,0.00,0.00,10.69,0.00,0.00,5.78,18.83,18.83
seq117,0.00,0.00,0.00,0.00,11.75,10.81,18.13,21.79,12.03,28.56,0.00,13.14,2.44,12.87,25.90,16.34,0.00,35.13,23.64,20.71
seq118,17.70,6.68,0.00,16.06,13.09,7.87,15.58,11.53,0.00,24.24,0.00,18.48,0.00,0.00,4.48,17.03,17.16,31.03,0.00,12.78
seq119,0.00,6.68,17.70,16.06,15.59,8.90,0.00,15.52,22.85,15.41,0.00,18.48,20.42,15.03,8.37,17.03,9.35,19.53,0.00,12.78
seq120,0.00,6.72,15.07,23.57,28.64,8.98,11.51,0.00,17.33,15.67,39.53,30.85,25.96,0.00,10.45,17.59,18.40,17.59,0.00,24.60
seq121,0.00,0.00,0.00,0.00,0.00,14.06,0.00,0.00,7.06,14.06,0.00,6.27,2.25,0.00,9.73,0.00,5.20,7.81,0.00,9.56
seq122,11.16,0.00,0.00,12.05,9.62,10.38,0.00,0.00,6.50,11.05,0.00,0.00,0.00,17.24,11.65,7.65,0.00,14.19,0.00,0.00
seq123,10.68,0.00,0.00,0.00,12.48,14.28,11.77,16.13,9.54,20.41,0.00,15.55,0.00,0.00,18.65,9.86,13.63,16.84,27.16,10.50
seq124,18.39,7.66,32.62,0.00,19.12,7.91,15.64,18.31,26.82,16.34,0.00,19.79,0.00,22.62,16.66,19.18,22.21,10.92,0.00,22.62
seq125,0.00,7.81,0.00,0.00,7.06,0.00,0.00,4.67,5.73,8.67,0.00,0.00,0.00,0.00,8.00,8.59,7.06,0.00,0.00,0.00
seq126,0.00,18.18,0.00,21.86,11.75,11.60,14.62,7.04,5.04,8.35,0.00,9.54,0.00,0.00,0.00,0.00,10.89,0.00,23.45,0.00
seq127,6.84,25.69,0.00,20.97,14.08,7.78,21.89,21.64,6.55,7.52,17.57,31.35,0.00,33.14,0.00,29.68,11.37,0.00,0.00,0.00
seq128,7.68,0.00,0.00,26.17,0.00,5.19,0.00,16.03,6.52,4.50,20.03,21.37,0.00,14.03,0.00,28.03,18.83,16.07,24.43,0.00
seq129,12.59,21.91,17.16,0.00,0.00,14.30,17.03,24.24,6.25,9.45,17.03,15.58,0.00,0.00,0.00,9.23,0.00,9.30,0.00,0.00
seq130,11.93,16.97,12.97,15.10,25.42,5.41,0.00,19.74,4.27,6.73,0.00,0.00,29.03,0.00,0.00,0.00,13.70,14.77,0.00,0.00
seq131,15.41,16.65,12.06,0.00,14.90,7.45,15.03,9.31,7.52,9.63,15.03,20.66,26.17,0.00,0.00,28.16,9.03,0.00,0.00,0.00
seq132,6.93,0.00,0.00,0.00,10.36,7.79,0.00,4.77,8.00,3.08,12.07,5.54,0.00,0.00,0.00,0.00,6.93,0.00,0.00,0.00
seq133,0.00,0.00,0.00,0.00,12.07,8.93,6.93,3.25,7.79,2.50,0.00,6.07,8.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00
seq134,5.69,0.00,0.00,0.00,6.08,6.92,0.00,6.15,8.00,2.22,0.00,0.00,8.00,0.00,0.00,5.54,0.00,0.00,0.00,0.00
seq135,21.04,0.00,0.00,0.00,0.00,0.00,0.00,7.86,0.00,11.91,0.00,0.00,3.44,13.86,12.48,0.00,7.50,0.00,0.00,5.95
seq136,31.15,34.36,20.44,20.84,40.28,5.69,0.00,10.68,8.97,18.88,22.89,18.18,0.00,0.00,17.20,22.09,25.93,15.91,0.00,0.00
seq137,7.31,24.34,0.00,0.00,46.07,8.09,29.23,12.98,50.23,29.09,33.44,45.64,20.59,47.72,52.09,35.40,11.52,9.62,28.62,29.75
seq138,0.00,0.00,33.14,14.47,18.03,8.17,6.21,0.00,12.19,30.66,0.00,28.11,0.00,0.00,6.38,16.42,0.00,0.00,0.00,11.66
seq139,13.66,16.92,0.00,17.57,16.97,4.57,13.14,0.00,21.03,22.92,0.00,9.38,0.00,0.00,21.89,10.57,21.89,8.63,17.03,32.14
seq140,7.79,0.00,0.00,18.50,16.03,6.10,0.00,19.32,6.82,12.91,0.00,16.15,20.26,15.94,14.97,28.38,0.00,11.09,0.00,0.00
seq141,8.47,19.47,0.00,0.00,0.00,5.39,0.00,25.70,20.30,12.85,0.00,41.51,27.62,0.00,41.43,36.26,42.50,7.80,21.71,17.10
seq142,17.72,19.40,16.79,32.27,30.59,16.22,71.17,10.26,11.33,10.09,0.00,19.67,0.00,47.90,0.00,32.40,20.74,19.81,0.00,39.61
seq143,7.48,0.00,0.00,0.00,22.04,4.59,6.50,4.23,8.04,9.21,0.00,0.00,0.00,0.00,19.22,0.00,0.00,0.00,18.00,0.00
seq144,20.02,6.54,0.00,0.00,0.00,7.66,0.00,18.93,7.77,26.31,10.88,23.52,11.72,18.88,22.98,28.83,23.45,13.03,0.00,0.00
seq145,5.59,0.00,0.00,0.00,13.52,12.24,8.79,23.04,3.81,4.05,0.00,0.00,0.00,15.71,0.00,19.52,18.00,0.00,21.20,0.00
seq146,9.65,0.00,0.00,13.58,9.58,22.19,18.52,8.72,3.05,19.93,8.42,0.00,0.00,14.37,0.00,13.70,16.15,0.00,19.93,0.00
seq147,12.97,6.31,20.02,29.23,14.62,10.61,11.97,23.46,21.27,19.51,0.00,38.02,27.76,14.92,15.54,21.90,17.23,26.32,0.00,37.12
seq148,10.25,0.00,0.00,0.00,15.78,11.77,13.03,14.52,3.58,25.42,0.00,0.00,0.00,20.66,24.78,18.53,0.00,17.66,17.23,11.10
seq149,8.72,0.00,11.76,0.00,0.00,15.26,0.00,0.00,12.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.06,7.33,0.00,13.25
seq150,0.00,0.00,23.19,2.65,15.19,0.00,0.00,0.00,0.00,11.84,0.00,12.59,0.00,7.76,3.47,0.00,0.00,0.00,21.48,0.00
seq151,0.00,7.22,0.00,0.00,0.00,11.14,0.00,21.04,4.45,5.95,0.00,0.00,0.00,20.21,0.00,14.54,7.39,3.55,0.00,0.00
seq152,11.49,11.60,23.14,34.03,23.43,17.69,0.00,12.03,3.41,11.15,19.36,24.36,0.00,32.14,0.00,14.69,14.79,12.40,0.00,0.00
seq153,8.63,0.00,0.00,6.19,0.00,5.94,0.00,17.05,0.00,8.72,0.00,8.63,17.05,11.17,4.12,0.00,0.00,0.00,0.00,0.00
seq154,0.00,11.84,0.00,12.52,19.93,17.26,17.26,0.00,0.00,0.00,13.19,12.96,14.37,10.65,11.19,8.50,10.81,7.38,11.12,12.59
seq155,0.00,0.00,0.00,0.00,0.00,17.05,9.47,13.68,15.26,0.00,0.00,0.00,2.07,0.00,3.44,5.61,8.63,17.05,0.00,10.21
seq156,34.03,5.74,0.00,0.00,9.70,7.29,14.29,17.03,10.32,16.74,0.00,32.14,14.34,0.00,21.03,6.36,0.00,17.14,27.60,0.00
seq157,0.00,10.80,0.00,12.59,16.04,19.44,10.88,12.65,25.04,0.00,12.81,11.42,0.00,15.19,0.00,6.04,10.35,10.58,14.37,0.00
seq158,13.80,12.73,22.39,0.00,0.00,5.95,18.07,20.93,15.37,0.00,24.30,14.88,0.00,33.39,0.00,22.93,10.24,20.56,14.09,39.12
seq159,26.02,37.87,42.27,41.23,21.74,4.72,0.00,10.98,8.64,16.04,23.52,14.36,40.52,0.00,0.00,15.74,19.62,13.29,0.00,0.00
seq160,0.00,0.00,6.92,0.00,4.08,8.42,0.00,3.27,5.54,8.42,0.00,5.69,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00
seq161,13.19,17.26,0.00,18.18,11.48,8.19,0.00,13.19,8.62,10.96,13.04,16.04,0.00,13.46,17.04,20.89,0.00,15.18,0.00,20.89
seq162,6.54,16.35,0.00,14.37,0.00,8.81,0.00,9.65,6.70,5.65,12.52,15.19,0.00,0.00,17.26,21.48,13.42,0.00,0.00,0.00
