ID,PAAC2_A,PAAC2_C,PAAC2_D,PAAC2_E,PAAC2_F,PAAC2_G,PAAC2_H,PAAC2_I,PAAC2_K,PAAC2_L,PAAC2_M,PAAC2_N,PAAC2_P,PAAC2_Q,PAAC2_R,PAAC2_S,PAAC2_T,PAAC2_V,PAAC2_W,PAAC2_Y,PAAC2_lam1,PAAC2_lam2
seq19,0.0,4.8323,0.8054,0.8054,0.0,3.2215,0.8054,0.0,1.6108,4.0269,0.8054,0.8054,0.0,0.0,5.6377,0.8054,1.6108,0.8054,0.0,1.6108,0.1051,0.0895
seq20,0.0,5.1266,0.8544,0.0,0.8544,5.1266,1.7089,0.8544,0.8544,2.5633,0.8544,0.0,1.7089,2.5633,2.5633,1.7089,3.4177,0.0,0.0,1.7089,0.0755,0.0701
seq21,0.8346,0.0,0.0,0.0,1.6691,0.0,0.0,0.0,0.0,5.0074,0.0,0.0,0.8346,0.0,0.8346,1.6691,0.0,0.0,0.0,0.0,0.0674,0.098
seq22,0.0,0.0,0.0,0.0,0.8453,2.5359,0.0,2.5359,1.6906,3.3812,0.0,0.0,0.8453,0.0,0.0,0.0,0.8453,0.0,0.0,0.0,0.0668,0.0879
seq23,0.0,0.0,0.0,0.0,0.8641,2.5924,0.0,2.5924,1.7283,4.3207,0.0,0.8641,1.7283,0.0,0.0,0.0,0.0,1.7283,0.0,0.0,0.0587,0.0771
seq24,1.6446,0.0,3.2893,0.0,0.8223,0.8223,0.8223,3.2893,4.1116,1.6446,0.8223,1.6446,0.0,3.2893,0.8223,2.467,0.8223,0.8223,1.6446,0.8223,0.0944,0.0833
seq25,19.1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9329,0.0,0.0,0.0,7.4799,0.0,0.0,2.4933,1.6622,1.6622,0.0,0.0,0.0729,0.096
seq26,6.6519,1.663,0.0,0.0,1.663,3.326,0.0,0.0,4.1574,3.326,0.0,1.663,0.0,1.663,0.0,2.4945,0.0,0.8315,0.0,0.8315,0.0734,0.0951
seq27,4.9672,1.6557,0.8279,0.8279,0.0,1.6557,0.8279,0.8279,3.3115,3.3115,0.0,0.8279,0.0,0.0,0.8279,0.8279,2.4836,1.6557,0.0,0.0,0.076,0.0961
seq28,1.623,1.623,0.8115,0.8115,0.8115,4.0574,0.0,2.4344,3.2459,1.623,0.0,1.623,0.8115,0.0,0.8115,1.623,0.0,2.4344,0.8115,0.0,0.0931,0.0954
seq29,0.8062,0.0,0.0,3.2247,0.0,2.4185,0.0,0.8062,3.2247,1.6123,0.0,0.8062,0.0,0.0,0.0,0.8062,0.0,3.2247,0.8062,0.0,0.0858,0.10800000000000001
seq30,2.3992,1.5995,0.7997,2.3992,1.5995,5.5981,0.0,5.5981,7.9973,3.1989,0.0,0.7997,0.0,0.0,0.7997,1.5995,1.5995,0.7997,0.0,0.0,0.0996,0.1006
seq31,0.7911,0.7911,1.5822,0.7911,0.0,0.0,1.5822,0.7911,6.3289,3.1644,0.0,0.7911,0.0,0.0,1.5822,0.0,0.0,2.3733,0.0,0.0,0.0806,0.1283
seq32,3.2714,0.0,1.6357,0.0,0.0,2.4535,0.0,3.2714,4.9071,2.4535,0.0,2.4535,0.8178,1.6357,0.8178,3.2714,1.6357,3.2714,1.6357,0.0,0.0791,0.1031
seq33,0.0,3.0851,0.0,3.0851,0.0,3.0851,0.7713,0.0,0.0,0.7713,0.7713,0.0,0.7713,2.3139,8.4842,0.7713,0.7713,0.0,0.7713,0.0,0.1103,0.1184
seq34,1.62,4.0501,0.0,0.0,0.81,3.2401,1.62,0.0,0.0,0.0,0.81,0.81,0.0,0.81,2.4301,0.81,0.81,0.81,0.0,2.4301,0.0879,0.1021
seq35,0.8705,4.3524,0.0,0.8705,0.0,2.6114,0.0,0.8705,1.7409,0.0,0.0,1.7409,0.0,2.6114,0.0,0.8705,1.7409,0.8705,0.0,1.7409,0.053,0.0766
seq36,0.0,1.6957,0.0,0.0,0.8478,0.0,0.0,1.6957,0.0,0.0,0.8478,0.0,1.6957,0.0,0.8478,0.0,0.8478,0.0,0.0,0.8478,0.0699,0.0823
seq37,5.8163,0.0,0.0,0.0,0.0,1.6618,0.0,3.3236,4.9854,3.3236,0.0,0.0,2.4927,0.0,0.0,1.6618,0.0,0.8309,0.0,0.0,0.0748,0.0943
seq38,0.0,4.6737,0.0,0.0,1.5579,4.6737,0.779,2.3369,0.779,0.0,0.0,0.779,2.3369,1.5579,6.2316,0.0,2.3369,3.1158,0.779,0.779,0.113,0.10800000000000001
seq39,8.1442,0.0,0.0,0.0,0.9049,0.9049,0.0,0.0,0.0,1.8098,0.0,0.0,0.9049,2.7147,0.0,0.9049,0.0,0.9049,0.0,0.0,0.0453,0.0498
seq40,1.6391,6.5563,1.6391,0.8195,0.0,1.6391,0.0,3.2782,4.0977,0.8195,0.0,2.4586,2.4586,0.0,3.2782,3.2782,3.2782,0.8195,0.8195,1.6391,0.0847,0.0958
seq41,3.2464,4.8696,0.8116,0.0,3.2464,0.8116,0.8116,0.8116,0.8116,0.0,0.0,0.8116,0.0,3.2464,3.2464,2.4348,0.8116,1.6232,0.8116,0.8116,0.0899,0.0985
seq42,0.8139,0.0,0.0,1.6277,0.0,1.6277,0.0,0.8139,0.0,0.0,0.8139,0.8139,1.6277,0.8139,0.8139,1.6277,0.0,1.6277,1.6277,1.6277,0.0926,0.0936
seq43,3.3311,0.0,0.0,0.8328,0.8328,0.8328,0.0,0.8328,2.4983,2.4983,0.8328,0.0,0.0,1.6655,0.0,0.0,0.8328,0.0,0.0,0.0,0.0866,0.0806
seq44,4.1,0.0,0.82,0.82,0.82,3.28,2.46,3.28,5.7401,0.0,0.0,2.46,0.0,0.0,1.64,1.64,0.82,3.28,0.0,0.82,0.09,0.09
seq45,3.2746,0.0,0.8187,0.0,0.8187,4.0933,1.6373,6.5493,8.1866,0.8187,0.0,1.6373,1.6373,1.6373,0.8187,1.6373,0.8187,0.8187,0.0,0.0,0.0888,0.0925
seq46,2.5222,0.0,0.0,0.8407,0.0,8.4073,0.8407,3.3629,4.2037,2.5222,0.0,0.8407,0.0,3.3629,0.8407,0.8407,0.8407,1.6815,0.0,0.8407,0.0746,0.0846
seq47,3.4765,0.0,0.0,0.0,1.7383,0.8691,1.7383,2.6074,0.8691,1.7383,0.0,0.8691,0.8691,0.0,0.0,1.7383,0.0,0.8691,0.0,0.0,0.0582,0.0727
seq48,1.6495,1.6495,0.0,0.8247,0.0,0.0,0.0,2.4742,2.4742,2.4742,0.8247,0.8247,0.8247,1.6495,0.8247,0.8247,2.4742,0.0,0.8247,0.8247,0.0834,0.0919
seq49,1.6931,0.0,2.5397,6.7725,2.5397,0.8466,0.0,3.3862,6.7725,3.3862,0.0,5.9259,1.6931,4.2328,0.0,3.3862,4.2328,1.6931,0.0,1.6931,0.0745,0.0789
seq50,5.5655,0.0,1.5902,3.1803,1.5902,2.3852,0.0,4.7705,2.3852,0.7951,0.0,0.7951,0.7951,2.3852,2.3852,0.7951,0.7951,0.7951,0.0,0.0,0.0896,0.1153
seq51,1.6737,5.0212,1.6737,2.5106,0.8369,5.0212,0.8369,0.8369,1.6737,1.6737,0.0,3.3474,0.0,0.0,1.6737,2.5106,2.5106,1.6737,1.6737,1.6737,0.0742,0.0889
seq52,3.2981,0.0,4.9471,2.4736,0.0,0.8245,0.8245,3.2981,1.649,3.2981,0.0,1.649,4.1226,0.0,2.4736,0.8245,1.649,0.8245,0.8245,1.649,0.0827,0.0928
seq53,0.0,0.0,1.6234,0.0,0.8117,2.4352,0.8117,4.8703,2.4352,0.0,0.0,3.2469,4.0586,2.4352,2.4352,0.8117,1.6234,0.8117,1.6234,0.0,0.08900000000000001,0.0993
seq54,0.8138,0.0,1.6276,1.6276,1.6276,0.0,0.8138,4.8828,0.8138,1.6276,0.0,0.0,8.9517,0.8138,4.069,2.4414,1.6276,0.8138,0.8138,0.8138,0.0988,0.0874
seq55,3.1459,0.7865,0.7865,0.0,0.0,2.3594,0.0,0.0,1.573,2.3594,0.0,0.0,0.0,0.0,1.573,1.573,0.0,1.573,0.7865,1.573,0.1064,0.1071
seq56,6.4271,0.0,0.0,0.0,0.0,1.6068,1.6068,1.6068,0.8034,2.4102,0.0,2.4102,3.2135,0.0,3.2135,0.0,0.8034,4.0169,0.0,1.6068,0.0971,0.0995
seq57,0.0,3.0719,0.0,0.0,0.0,1.536,0.0,1.536,1.536,0.0,0.0,0.768,0.768,0.768,4.6079,0.768,0.768,0.768,0.0,2.304,0.09300000000000001,0.139
seq58,2.6016,1.7344,0.0,0.0,2.6016,0.0,0.0,0.0,2.6016,5.2032,0.0,0.0,0.8672,0.0,0.0,0.8672,0.0,0.8672,0.0,0.0,0.0577,0.0751
seq59,0.0,5.0704,0.0,0.8451,0.8451,6.7605,0.0,0.8451,0.8451,0.8451,0.0,3.3803,2.5352,2.5352,2.5352,0.8451,0.0,0.8451,0.0,2.5352,0.0849,0.0701
seq60,0.0,0.0,0.7553,0.0,0.7553,0.0,0.0,1.5105,1.5105,1.5105,0.0,0.0,1.5105,0.7553,3.7763,0.0,0.7553,3.0211,1.5105,0.0,0.1263,0.1184
seq61,0.0,0.0,2.2502,2.2502,2.2502,3.0002,0.0,2.2502,2.2502,4.5004,0.0,0.0,0.0,1.5001,4.5004,3.0002,0.0,0.0,0.0,0.0,0.1132,0.1368
seq62,0.0,0.0,0.0,0.0,4.0098,0.802,0.0,0.802,0.0,1.6039,0.0,0.0,15.2372,0.0,8.0196,0.0,0.0,0.0,0.0,0.802,0.1067,0.0914
seq63,0.0,0.0,1.6536,0.0,1.6536,1.6536,0.0,1.6536,1.6536,2.4803,0.8268,1.6536,6.6143,0.0,2.4803,0.0,0.8268,0.8268,0.0,2.4803,0.1019,0.0713
seq64,0.0,0.0,0.0,0.0,2.4498,3.2664,3.2664,2.4498,1.6332,0.8166,0.0,0.0,0.0,0.0,0.8166,0.0,1.6332,2.4498,0.0,0.0,0.0757,0.1077
seq65,5.4262,0.0,0.7752,0.0,0.0,3.8759,0.0,0.0,6.2014,1.5504,1.5504,0.0,0.7752,0.7752,0.0,0.0,0.0,0.0,2.3255,0.0,0.1038,0.121
seq66,3.9087,0.0,0.7817,0.7817,0.0,3.1269,0.0,0.7817,5.4721,2.3452,0.0,0.0,0.7817,1.5635,0.0,0.0,0.7817,0.7817,2.3452,0.0,0.1059,0.1124
seq67,4.8217,0.0,1.6072,0.8036,0.8036,2.4108,0.0,0.8036,4.8217,1.6072,1.6072,0.0,0.8036,0.0,0.0,0.0,1.6072,0.0,1.6072,0.0,0.086,0.1104
seq68,0.0,0.0,0.8194,0.0,0.0,4.0968,0.0,0.8194,2.4581,4.0968,0.0,0.0,0.8194,0.0,0.0,0.0,0.0,2.4581,0.0,0.0,0.07400000000000001,0.1066
seq69,1.5918,0.0,0.0,0.7959,0.0,3.1836,0.0,0.7959,4.7753,4.7753,0.7959,0.0,0.0,0.0,0.0,0.0,0.7959,0.7959,0.7959,0.0,0.1,0.1041
seq70,1.6943,0.0,0.0,0.0,0.8472,2.5415,0.0,0.8472,5.083,4.2359,0.0,0.0,0.8472,0.8472,0.0,1.6943,0.0,1.6943,0.8472,0.0,0.0651,0.0878
seq71,1.6068,0.0,0.0,0.0,0.0,2.4102,0.0,3.2136,4.8204,1.6068,0.8034,0.0,0.8034,0.8034,0.8034,0.8034,0.8034,1.6068,0.8034,0.0,0.0921,0.1045
seq72,1.6231,0.0,0.0,0.0,0.0,3.2463,0.0,0.8116,4.0578,3.2463,0.8116,0.0,0.8116,1.6231,0.0,0.0,1.6231,1.6231,1.6231,0.0,0.0974,0.0911
seq73,2.4972,0.0,0.0,0.0,1.6648,2.4972,0.0,1.6648,4.162,2.4972,0.0,0.0,0.8324,0.8324,0.0,0.8324,0.0,1.6648,0.8324,0.0,0.0694,0.0982
seq74,3.4819,0.0,0.0,0.0,1.741,1.741,0.0,3.4819,1.741,1.741,0.0,0.0,0.8705,0.0,0.0,0.8705,0.8705,0.8705,0.0,0.0,0.0644,0.0651
seq75,0.0,0.0,0.0,0.0,2.212,0.7373,0.0,0.7373,0.7373,1.4747,0.0,0.0,0.0,0.7373,0.7373,0.7373,0.0,0.7373,0.7373,0.0,0.1082,0.1545
seq76,0.8225,0.0,0.8225,0.0,0.8225,2.4675,0.0,1.645,1.645,1.645,0.0,0.0,0.0,0.0,0.0,0.8225,0.0,2.4675,0.0,0.0,0.0703,0.1071
seq77,0.8158,0.0,0.8158,0.0,0.8158,1.6315,0.8158,3.263,1.6315,0.8158,0.0,0.0,0.0,0.0,0.0,1.6315,0.0,1.6315,0.0,0.0,0.0729,0.1114
seq78,4.3001,0.0,0.0,0.86,1.7201,1.7201,1.7201,0.86,0.86,1.7201,0.0,0.0,0.86,0.86,0.0,0.86,0.0,3.4401,0.0,0.0,0.0633,0.0767
seq79,2.5754,6.8676,2.5754,0.8585,1.7169,1.7169,3.4338,0.8585,3.4338,1.7169,0.0,3.4338,0.0,0.8585,0.8585,1.7169,4.2923,0.8585,0.8585,0.8585,0.0675,0.07400000000000001
seq80,0.0,6.6588,2.497,1.6647,1.6647,3.3294,1.6647,0.8323,2.497,2.497,0.0,4.9941,1.6647,0.0,4.1617,1.6647,2.497,0.0,0.8323,0.0,0.0891,0.0786
seq81,1.578,0.0,0.789,0.789,0.0,1.578,0.0,0.0,3.156,0.789,0.0,0.789,0.0,0.0,0.789,0.789,0.0,0.789,0.0,0.0,0.1211,0.0899
seq82,0.8216,0.0,0.0,0.8216,0.8216,1.6432,1.6432,1.6432,2.4648,3.2865,0.0,2.4648,0.0,1.6432,0.0,0.0,0.8216,1.6432,0.0,0.0,0.0757,0.1027
seq83,7.0396,0.0,0.7822,0.7822,1.5643,2.3465,0.0,1.5643,7.0396,5.4752,0.7822,1.5643,0.7822,2.3465,2.3465,1.5643,0.0,1.5643,0.0,0.0,0.1044,0.1134
seq84,1.5592,0.0,1.5592,0.0,3.1183,3.1183,0.0,1.5592,6.2367,1.5592,0.0,0.7796,0.0,1.5592,1.5592,2.3388,0.7796,3.1183,0.0,0.0,0.1095,0.1109
seq85,1.7089,0.0,0.0,0.0,0.0,3.4178,0.0,0.8544,2.5633,4.2722,0.0,1.7089,0.0,0.8544,0.0,0.8544,0.8544,2.5633,0.0,0.8544,0.0636,0.0819
seq86,1.7426,3.4852,0.8713,0.8713,1.7426,0.0,3.4852,0.0,2.6139,1.7426,2.6139,0.0,0.8713,3.4852,0.0,4.3566,0.0,0.0,0.0,0.8713,0.063,0.0657
seq87,2.5166,1.6777,1.6777,0.0,0.8389,3.3555,0.0,1.6777,4.1944,4.1944,0.0,0.8389,0.0,0.0,0.0,2.5166,2.5166,0.8389,0.8389,0.0,0.0817,0.0794
seq88,3.2855,1.6427,1.6427,0.0,1.6427,4.1068,0.0,1.6427,4.9282,3.2855,0.8214,0.0,0.0,1.6427,0.0,2.4641,1.6427,1.6427,0.0,0.0,0.0814,0.0972
seq89,4.251,0.0,0.0,0.0,0.0,4.251,0.0,2.5506,4.251,2.5506,0.0,0.0,1.7004,0.0,0.0,1.7004,0.0,5.9514,0.0,0.0,0.0667,0.0831
seq90,0.0,0.0,0.8524,0.0,1.7047,1.7047,1.7047,1.7047,0.0,0.0,0.0,1.7047,5.9665,1.7047,2.5571,0.8524,0.8524,0.0,0.0,0.8524,0.0759,0.0717
seq91,0.8045,4.8271,0.8045,0.8045,0.0,0.8045,0.8045,0.8045,1.609,4.8271,0.0,0.0,0.0,2.4135,3.2181,1.609,0.8045,1.609,0.0,1.609,0.1062,0.0893
seq92,0.8171,4.9027,2.4514,2.4514,0.0,3.2685,2.4514,0.8171,0.8171,0.0,0.8171,0.0,1.6342,0.8171,3.2685,2.4514,0.0,2.4514,0.0,3.2685,0.1013,0.0815
seq93,0.0,1.6515,0.0,0.0,3.3031,0.8258,0.0,1.6515,1.6515,0.0,0.0,0.0,0.8258,0.0,0.0,0.0,0.8258,0.8258,0.0,0.0,0.0762,0.098
seq94,0.8661,1.7322,0.0,0.0,0.8661,0.8661,0.0,1.7322,2.5983,5.1966,0.8661,0.0,1.7322,0.0,0.8661,0.8661,0.0,0.0,0.0,0.0,0.0584,0.0755
seq95,4.1641,1.6657,0.0,1.6657,0.0,6.6626,0.8328,2.4985,1.6657,0.8328,0.8328,4.1641,0.0,0.0,0.8328,3.3313,0.8328,2.4985,2.4985,1.6657,0.0885,0.0787
seq96,0.8353,0.0,2.5059,0.0,0.8353,3.3412,0.0,1.6706,0.8353,0.0,0.0,0.8353,0.8353,0.8353,0.0,0.0,0.8353,1.6706,0.0,0.8353,0.0731,0.0916
seq97,3.1417,0.0,0.7854,3.1417,1.5708,4.7125,0.0,0.0,8.6396,5.4979,0.7854,0.0,0.7854,0.7854,0.7854,2.3563,0.0,0.7854,0.7854,0.7854,0.1088,0.1058
seq98,2.5036,2.5036,0.8345,0.0,0.8345,0.8345,0.0,0.8345,3.3381,0.8345,0.0,0.0,1.6691,1.6691,1.6691,2.5036,2.5036,2.5036,0.0,0.0,0.0779,0.0876
seq99,0.0,1.7228,3.4455,0.8614,0.8614,0.8614,0.0,0.8614,0.0,3.4455,0.0,1.7228,0.0,2.5842,0.8614,1.7228,1.7228,1.7228,0.0,0.0,0.0727,0.0659
seq100,0.8765,0.0,0.8765,0.0,0.8765,46.4533,11.3942,0.0,0.0,0.0,0.0,0.8765,3.5059,1.753,0.8765,1.753,0.8765,0.0,0.0,3.5059,0.0676,0.0559
seq101,10.1966,5.0983,5.0983,7.6474,1.6994,0.8497,5.948,3.3989,2.5491,5.948,1.6994,5.948,1.6994,4.2486,3.3989,1.6994,5.0983,2.5491,0.0,1.6994,0.0765,0.0738
seq102,0.8607,0.0,0.0,0.0,0.8607,6.8855,0.0,0.8607,1.7214,4.3034,0.0,0.0,0.0,0.8607,0.0,2.5821,1.7214,1.7214,0.0,0.0,0.0607,0.0786
seq103,5.0087,0.8348,3.3391,8.3478,4.1739,3.3391,0.0,0.8348,6.6782,6.6782,1.6696,1.6696,0.8348,0.8348,5.0087,5.0087,0.8348,2.5043,0.0,2.5043,0.0713,0.094
seq104,0.8361,5.0166,0.8361,0.0,1.6722,3.3444,1.6722,3.3444,0.8361,0.8361,0.8361,1.6722,2.5083,0.8361,3.3444,1.6722,0.8361,0.8361,0.8361,0.0,0.0948,0.0691
seq105,0.782,4.6921,0.0,0.782,0.0,3.9101,0.0,1.564,0.782,3.1281,0.782,1.564,1.564,0.782,5.4741,1.564,0.782,1.564,0.782,0.782,0.1098,0.1082
seq106,0.7099,0.0,1.4198,1.4198,1.4198,2.8395,0.0,3.5494,2.1296,2.1296,0.0,0.0,0.0,1.4198,6.3889,0.7099,0.0,0.0,0.0,0.0,0.1255,0.1646
seq107,0.0,0.0,0.0,0.0,4.2117,2.527,3.3693,1.6847,0.8423,0.8423,0.0,0.8423,0.0,0.8423,0.0,0.8423,0.0,3.3693,0.0,0.0,0.0765,0.0812
seq108,3.4142,8.5354,0.0,0.0,0.0,5.9748,0.0,0.8535,0.0,0.8535,0.0,2.5606,1.7071,1.7071,3.4142,2.5606,0.8535,0.0,0.0,2.5606,0.0827,0.0637
seq109,1.5631,0.0,0.7816,0.0,0.7816,3.9078,0.7816,0.0,3.9078,2.3447,0.0,0.0,0.0,0.0,0.7816,0.7816,0.7816,2.3447,0.7816,0.7816,0.09300000000000001,0.1255
seq110,2.3966,0.0,0.7989,0.0,2.3966,3.9944,2.3966,3.1955,2.3966,0.0,0.0,0.7989,0.0,0.7989,0.0,0.7989,0.0,0.0,0.7989,0.0,0.0978,0.1033
seq111,0.0,0.0,0.0,0.0,0.8244,4.1221,2.4733,0.8244,1.6489,4.9466,0.8244,0.0,0.0,0.8244,0.0,0.0,0.0,0.0,0.8244,0.0,0.0864,0.0891
seq112,0.7354,0.0,0.0,0.7354,1.4708,1.4708,0.7354,0.0,2.2062,0.7354,0.0,0.0,0.0,0.7354,1.4708,0.7354,0.7354,0.0,1.4708,0.0,0.1141,0.1505
seq113,0.0,0.0,0.0,0.0,1.6695,4.1737,5.8432,1.6695,0.8347,3.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6695,0.8347,0.0,0.0709,0.0944
seq114,0.8399,0.0,0.0,0.8399,1.6798,3.3595,2.5196,0.8399,1.6798,2.5196,0.8399,0.8399,0.0,0.8399,2.5196,1.6798,0.0,0.8399,0.0,0.0,0.0703,0.0898
seq115,2.2033,0.0,0.7344,0.0,0.7344,3.6721,1.4688,0.0,3.6721,2.2033,0.0,2.2033,0.0,0.0,4.4065,0.0,0.7344,2.2033,2.2033,1.4688,0.1177,0.1478
seq116,1.522,0.0,0.0,0.0,0.761,5.3271,0.761,1.522,3.8051,1.522,0.0,0.761,0.0,0.0,1.522,0.0,0.0,3.0441,1.522,0.761,0.1098,0.1292
seq117,0.0,0.0,0.0,0.0,3.436,3.436,1.718,0.859,1.718,0.859,0.0,2.577,11.1671,1.718,0.859,1.718,0.0,0.859,0.859,1.718,0.0786,0.0624
seq118,0.781,4.6858,0.0,0.781,1.5619,2.3429,0.781,1.5619,0.0,0.781,0.0,0.781,0.0,0.0,7.0287,0.781,1.5619,0.781,0.0,1.5619,0.0941,0.1249
seq119,0.0,4.8504,0.8084,0.8084,1.6168,2.4252,0.0,0.8084,0.8084,1.6168,0.0,0.8084,0.8084,1.6168,3.2336,0.8084,2.4252,1.6168,0.0,1.6168,0.0887,0.1029
seq120,0.0,6.5459,1.6365,0.8182,0.8182,5.7277,2.4547,0.0,2.4547,4.0912,0.8182,0.8182,0.8182,0.0,4.9095,1.6365,2.4547,1.6365,0.0,0.8182,0.095,0.0868
seq121,0.0,0.0,0.0,0.0,0.0,0.8479,0.0,0.0,0.8479,0.8479,0.0,1.6958,4.2395,0.0,1.6958,0.0,1.6958,0.8479,0.0,0.8479,0.1014,0.0506
seq122,2.4055,0.0,0.0,1.6037,0.8018,0.8018,0.0,0.0,3.2073,0.8018,0.0,0.0,0.0,0.8018,4.0092,1.6037,0.0,0.8018,0.0,0.0,0.0887,0.1095
seq123,3.2656,0.0,0.0,0.0,2.4492,2.4492,1.6328,0.8164,3.2656,2.4492,0.0,0.8164,0.0,0.0,0.8164,2.4492,1.6328,0.8164,0.8164,1.6328,0.08199999999999999,0.1016
seq124,2.5046,5.0093,0.8349,0.0,0.8349,5.8442,1.6698,1.6698,0.8349,2.5046,0.0,1.6698,0.0,0.8349,2.5046,1.6698,1.6698,2.5046,0.0,0.8349,0.0791,0.0861
seq125,0.0,1.6487,0.0,0.0,1.6487,0.0,0.0,2.473,2.473,2.473,0.0,0.0,0.0,0.0,0.8243,0.8243,1.6487,0.0,0.0,0.0,0.0632,0.1125
seq126,0.0,1.6178,0.0,0.8089,1.6178,4.0444,0.8089,2.4267,4.8533,3.2355,0.0,1.6178,0.0,0.0,0.0,0.0,1.6178,0.0,0.8089,0.0,0.095,0.0961
seq127,5.0366,1.6789,0.0,0.8394,1.6789,5.0366,0.8394,1.6789,4.1972,4.1972,0.8394,0.8394,0.0,0.8394,0.0,0.8394,2.5183,0.0,0.0,0.0,0.0722,0.0884
seq128,4.965,0.0,0.0,0.8275,0.0,4.1375,0.0,0.8275,3.31,4.1375,0.8275,0.8275,0.0,0.8275,0.0,0.8275,0.8275,1.655,0.8275,0.0,0.078,0.0945
